FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_align,C_align
10815,10919,(7#)103/2,10826,167.484,10815,540.675,10909,2.669886,10815,8.62757176,10867,254.078057,4.039097059,10831,2.030313
10920,11024,(7#)52,10924,168.702,10920,588.539,10993,2.669858,10920,9.31954413,10972,256.701014,4.050095742,10937,2.034279
11025,11129,(7#)105/2,11027,169.885,11025,543.502,11117,2.669816,11025,8.54273527,11077,258.047470,4.040991150,11027,2.037610
11130,11234,(7#)53,11131,171.139,11130,558.345,11213,2.669784,11130,8.71016841,11182,260.460912,4.048665737,11131,2.041392
11235,11339,(7#)107/2,11239,172.440,11235,556.858,11329,2.669746,11235,8.62392037,11287,261.755823,4.039032974,11239,2.045256
11340,11444,(7#)54,11351,173.787,11340,555.696,11437,2.669711,11340,8.54249384,11392,263.969652,4.043666297,11351,2.049195
11445,11549,(7#)109/2,11447,174.939,11445,564.906,11549,2.669676,11445,8.62215633,11497,265.590840,4.039288136,11447,2.052519
11550,11654,(11#)5,11551,176.185,11550,626.392,11633,2.669649,11550,9.49139417,11602,267.807897,4.044000909,11551,2.056066
11655,11759,(7#)111/2,11657,177.452,11655,583.944,11717,2.669623,11655,8.78621842,11707,269.948622,4.047536199,11657,2.059616
11760,11864,(7#)56,11762,178.737,11760,571.787,11833,2.669587,11760,8.54209120,11812,271.389002,4.040640335,11762,2.063373
11865,11969,(7#)113/2,11867,179.958,11865,580.927,11969,2.669545,11865,8.61888047,11917,273.332013,4.041349289,11867,2.066513
11970,12074,(7#)57,11971,181.196,11970,613.895,12073,2.669514,11970,9.04432491,12022,275.220625,4.041277012,11971,2.069847
12075,12179,(7#)115/2,12076,182.505,12075,611.532,12161,2.669488,12075,8.94851957,12127,277.594339,4.048324196,12086,2.073746
12180,12284,(7#)58,12182,183.732,12180,609.541,12281,2.669452,12180,8.85806551,12232,279.200581,4.044170889,12182,2.076728
12285,12389,(7#)117/2,12286,184.964,12285,645.490,12377,2.669424,12285,9.31805206,12337,281.050544,4.043656050,12289,2.079731
12390,12494,(7#)59,12391,186.175,12390,606.175,12473,2.669396,12390,8.69133740,12442,282.716196,4.040545557,12391,2.082818
12495,12599,(7#)119/2,12497,187.426,12495,639.620,12589,2.669363,12495,9.11082339,12547,285.315376,4.050773929,12497,2.085965
12600,12704,(7#)60,12601,188.653,12600,603.655,12697,2.669333,12600,8.54133698,12652,285.998864,4.033882784,12601,2.089016
