START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio
(11#)141/2,163297,2.519915,163997,1.610755,4.475222e-01,0.313020,2.904479e+00
(11#)71,164954,2.477786,165161,1.616110,4.273434e-01,0.313142,2.751710e+00
(13#)11/2,165701,2.520785,166319,1.621444,4.412533e-01,0.313272,2.870799e+00
(11#)72,166351,2.526473,167471,1.626775,4.402247e-01,0.313409,2.870683e+00
(11#)145/2,167809,2.490909,168629,1.631851,4.229328e-01,0.313547,2.739806e+00
(11#)73,168814,2.509419,169783,1.636929,4.272293e-01,0.313692,2.781359e+00
(11#)147/2,170539,2.495056,170927,1.641989,4.184029e-01,0.313844,2.718124e+00
(11#)74,171694,2.497959,172093,1.647014,4.165100e-01,0.314002,2.709999e+00
(11#)149/2,172849,2.504239,173249,1.651893,4.160630e-01,0.314163,2.713069e+00
(11#)75,174214,2.457750,174389,1.656789,3.943649e-01,0.314330,2.548153e+00
(11#)151/2,174814,2.514062,175543,1.661570,4.141368e-01,0.314503,2.710601e+00
(11#)76,176551,2.496728,176713,1.666369,4.043341e-01,0.314682,2.638724e+00
(11#)153/2,177841,2.524335,177841,1.671068,4.125147e-01,0.314863,2.709963e+00
(11#)77,178898,2.502055,179021,1.675694,4.008850e-01,0.315051,2.622944e+00
(11#)155/2,179083,2.529322,180179,1.680264,4.090004e-01,0.315243,2.693344e+00
(13#)6,180379,2.501151,181303,1.684790,3.951101e-01,0.315440,2.588007e+00
(11#)157/2,181919,2.535068,182489,1.689366,4.058672e-01,0.315645,2.679282e+00
(11#)79,182519,2.515243,183637,1.693758,3.954197e-01,0.315851,2.600862e+00
(11#)159/2,184696,2.506373,184777,1.698118,3.893161e-01,0.316060,2.557283e+00
(11#)80,185578,2.512282,185951,1.702458,3.891184e-01,0.316275,2.560506e+00
(11#)161/2,187024,2.533868,187091,1.706728,3.951689e-01,0.316496,2.613430e+00
(11#)81,187471,2.522543,188261,1.710965,3.882100e-01,0.316720,2.562446e+00
(11#)163/2,189094,2.510677,189407,1.715187,3.810303e-01,0.316950,2.509828e+00
(11#)82,189817,2.521375,190573,1.719311,3.828808e-01,0.317182,2.528719e+00
(11#)165/2,191626,2.523077,191717,1.723419,3.811691e-01,0.317420,2.519243e+00
(11#)83,191768,2.509171,192883,1.727519,3.732661e-01,0.317663,2.460633e+00
(11#)167/2,193639,2.501153,194027,1.731496,3.677661e-01,0.317907,2.421013e+00
(11#)84,194767,2.519507,195193,1.735489,3.727740e-01,0.318157,2.464249e+00
(13#)13/2,195751,2.518018,196337,1.739404,3.699296e-01,0.318411,2.445311e+00
(11#)85,197402,2.512439,197479,1.743333,3.654552e-01,0.318670,2.413487e+00
(11#)171/2,198046,2.523633,198659,1.747146,3.677159e-01,0.318930,2.434663e+00
(11#)86,199021,2.495353,199813,1.750993,3.542471e-01,0.319198,2.331969e+00
(11#)173/2,200899,2.517394,200929,1.754734,3.609070e-01,0.319465,2.387304e+00
(11#)87,201904,2.515768,202121,1.758457,3.581414e-01,0.319737,2.368544e+00
(11#)175/2,203128,2.520731,203279,1.762155,3.580114e-01,0.320014,2.370446e+00
(11#)88,203417,2.508934,204431,1.765830,3.512371e-01,0.320295,2.320061e+00
(11#)177/2,204928,2.464243,205589,1.769433,3.312255e-01,0.320579,2.167360e+00
(11#)89,205924,2.529874,206699,1.773040,3.554739e-01,0.320867,2.358716e+00
(11#)179/2,206984,2.513240,207877,1.776572,3.468871e-01,0.321158,2.293787e+00
(11#)90,208129,2.513207,209039,1.780096,3.448923e-01,0.321453,2.280616e+00
(11#)181/2,209362,2.520880,210209,1.783575,3.459883e-01,0.321752,2.291532e+00
(13#)7,210557,2.506060,211349,1.787024,3.381601e-01,0.322053,2.232664e+00
(11#)183/2,211459,2.494267,212507,1.790419,3.315452e-01,0.322358,2.183436e+00
