FIRST,LAST,START,minAt,G(minAt),maxAt,G(maxAt),n_0,C_min(n_0),n_1,C_max(n_1),n_geom,<COUNT>,C_avg
10975965,11231219,(17#)43/2,10979044,54860,10975965,235002,11035639,2.619300,10975965,11.25356686,11102858,84839.545701,4.021760008
11231220,11486474,(17#)22,11262739,55906,11411400,235796,11262739,2.617318,11231220,10.96641085,11358130,86571.296437,4.022880464
11486475,11741729,(17#)45/2,11489113,56924,11696685,246712,11722628,2.612843,11696685,11.17351171,11613401,88290.197269,4.023567372
11741730,11996984,(17#)23,11745614,58174,11741730,255042,11980162,2.618144,11741730,11.51189717,11868671,89987.592674,4.023466651
11996985,12252239,(17#)47/2,12013081,59274,11996985,253696,12176348,2.615986,11996985,11.23713469,12123940,91680.180518,4.023334972
12252240,12507494,(17#)24,12253576,60418,12267255,257100,12503914,2.618371,12267255,11.16747768,12379209,93367.610860,4.023162217
12507495,12762749,(17#)49/2,12508459,61492,12507495,257306,12674359,2.620449,12507495,10.98781759,12634477,95047.448301,4.022844071
12762750,13018004,(17#)25,12769441,62574,12777765,264534,12945293,2.619810,12777765,11.08648867,12889745,96738.247133,4.023150094
13018005,13273259,(17#)51/2,13026814,63708,13123110,278818,13157726,2.614254,13123110,11.41473584,13145012,98406.428505,4.022679354
13273260,13528514,(17#)26,13286839,64750,13408395,278192,13383668,2.621737,13408395,11.17605896,13400279,100095.377932,4.023207106
13528515,13783769,(17#)53/2,13537324,65864,13528515,281162,13598296,2.621948,13528515,11.20725467,13655546,101747.286039,4.022396455
13783770,14039024,(17#)27,13802177,66970,13999755,282586,13890334,2.615375,13783770,10.98038214,13910812,103411.994280,4.022246079
14039025,14294279,(17#)55/2,14070911,68174,14159145,288966,14203249,2.615943,14159145,11.06647162,14166077,105060.687179,4.021620302
14294280,14549534,(17#)28,14302186,69198,14294280,289162,14546944,2.610027,14294280,10.98194552,14421342,106733.242405,4.022040352
14549535,14804789,(19#)3/2,14551022,70344,14549535,311238,14653259,2.623627,14549535,11.63795064,14676607,108404.886086,4.022537849
14804790,15060044,(17#)29,14808236,71354,14804790,309878,14993599,2.620451,14804790,11.41134683,14931872,110035.568627,4.021642347
