START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign,CpredBound
(7#)17/2,1849,2.204669,1889,2.678883,1785,8.79830470,1785,9.14018451,1836,4.002058697,4.059906922,1.756964,1.756964,0.000000
(7#)9,1966,1.989272,1993,2.678508,1890,8.43214029,1890,8.56789132,1941,4.008652265,4.050431210,1.772841,1.772841,0.000000
(7#)19/2,2029,1.715762,2048,2.676937,1995,8.57059128,1995,9.07056300,2046,3.923622191,4.054266154,1.780920,1.780920,0.000000
(7#)10,2104,2.003507,2203,2.677756,2145,8.12379559,2145,8.65214719,2151,3.871466541,4.054758954,1.794001,1.794001,0.000000
(7#)21/2,2287,1.989104,2309,2.677521,2205,8.06714663,2205,8.56514666,2256,3.834198965,4.049360901,1.803456,1.803456,0.000000
(11#),2347,2.156625,2411,2.677177,2310,9.14058186,2310,9.51595498,2361,3.941891684,4.058853150,1.813131,1.813131,0.000000
(7#)23/2,2447,2.190317,2503,2.676943,2415,8.64639902,2415,8.97116580,2466,3.949622247,4.052954097,1.820927,1.820927,0.000000
(7#)12,2623,2.363446,2621,2.676720,2520,7.98399457,2520,8.56269466,2571,3.967331880,4.055017224,1.830232,1.830232,0.000000
(7#)25/2,2633,2.168203,2729,2.676474,2625,8.59805030,2625,8.56221025,2676,3.944871856,4.046580476,1.833496,1.833496,0.019495
(7#)13,2809,2.065835,2833,2.676249,2730,9.53914578,2730,9.33990552,2782,4.016695881,4.056090943,1.838300,1.838300,0.020050
(7#)27/2,2909,2.274897,2939,2.675980,2835,8.56334577,2835,8.56078760,2887,4.011163743,4.052522119,1.847372,1.847372,0.051100
(7#)14,2974,2.064698,3041,2.675833,2940,8.67739172,2940,8.56022332,2992,3.961016497,4.051758738,1.852633,1.852633,0.080223
(7#)29/2,3076,1.845344,3137,2.675654,3135,8.85070812,3045,8.87685877,3097,3.958834679,4.052138177,1.855222,1.855222,0.101761
(7#)15,3221,2.107297,3253,2.675448,3150,8.07464822,3150,8.55930633,3202,3.902500735,4.049715610,1.860104,1.860104,0.118976
(7#)31/2,3334,2.210551,3359,2.675223,3255,9.08651900,3255,8.85376750,3307,3.906135426,4.051199233,1.862830,1.862830,0.129636
(7#)16,3386,2.340982,3463,2.675056,3360,8.55513325,3360,8.55816779,3412,3.934966538,4.043316018,1.865202,1.865202,0.144378
(11#)3/2,3559,2.029695,3559,2.674908,3465,9.20509845,3465,9.50870704,3517,3.925535040,4.058052790,1.869853,1.869853,0.164746
(7#)17,3571,2.249487,3673,2.674779,3570,8.47248673,3570,9.12788635,3622,3.909336161,4.053419962,1.873648,1.873648,0.186182
(7#)35/2,3769,1.943543,3779,2.674587,3675,8.65796828,3675,8.55682377,3727,3.952743740,4.045011843,1.876754,1.876754,0.197824
(7#)18,3799,2.075010,3881,2.674486,3795,8.16344904,3780,8.55641678,3832,3.956935876,4.049350102,1.877190,1.877190,0.202186
(7#)37/2,3964,2.216472,3989,2.674342,3885,8.65284260,3885,8.80059383,3937,4.031398137,4.046217292,1.880657,1.880657,0.220040
(7#)19,4051,2.044491,4093,2.674208,3990,8.61525608,3990,9.05902910,4042,3.955871380,4.058063096,1.880724,1.880724,0.229241
(7#)39/2,4153,2.340594,4096,2.673517,4095,9.26020575,4095,9.33300293,4147,3.964584714,4.050031679,1.883025,1.883025,0.221861
(7#)20,4282,2.220909,4297,2.673959,4200,8.21978002,4290,8.64111668,4252,4.026057242,4.050209625,1.883813,1.883813,0.232830
(7#)41/2,4393,2.306710,4409,2.673829,4305,8.45913368,4305,8.77400021,4357,3.961866554,4.047390507,1.886589,1.886589,0.228011
(7#)21,4486,2.143577,4513,2.673712,4410,8.62279023,4410,8.55431361,4462,3.990033304,4.047303348,1.885225,1.885225,0.230682
(7#)43/2,4603,2.102361,4603,2.673583,4515,8.78519237,4515,8.76250498,4567,3.997205638,4.045239621,1.886512,1.886512,0.240451
(11#)2,4651,2.085780,4723,2.673457,4620,9.43200294,4620,9.50395507,4672,4.016741935,4.051351101,1.888529,1.888529,0.247525
(7#)45/2,4801,1.856187,4817,2.673391,4725,8.48560494,4725,8.55334142,4777,3.959575554,4.049041518,1.886990,1.886990,0.252726
(7#)23,4909,2.178086,4933,2.673275,4830,9.23639960,4830,8.96032980,4882,3.940226253,4.047990403,1.887229,1.887229,0.254494
(7#)47/2,4987,2.151973,5039,2.673145,4935,8.55995006,4935,8.74270751,4987,3.928458773,4.051274269,1.887983,1.887983,0.256713
(7#)24,5086,2.176695,5119,2.673070,5040,8.47914389,5040,8.55236744,5092,3.991573907,4.043092611,1.887900,1.887900,0.257405
(7#)49/2,5242,2.126897,5237,2.672990,5145,8.23437263,5145,8.55217279,5197,4.029583952,4.053571147,1.887785,1.887785,0.265485
(7#)25,5308,2.217466,5351,2.672862,5250,8.88898687,5250,8.55190387,5302,3.987333044,4.040014905,1.887182,1.887182,0.273855
(7#)51/2,5416,1.965120,5449,2.672803,5355,8.59144749,5355,9.12165173,5407,3.958874195,4.053812576,1.887585,1.887585,0.275793
(7#)26,5557,2.301782,5563,2.672682,5460,8.73404796,5460,9.32868501,5512,3.932997871,4.046616840,1.886428,1.886428,0.272754
