n,C(n),Cminus(n),C(n)-Cminus(n),CminusAsym(n),C(n)-CminusAsym(n),preMertens,preMertensAsymp,alpha(n)
3127703,2.602558,2.125780,0.476778,2.140131,0.462427,5416,7219,0.500000000000
3144191,2.605823,2.127275,0.478548,2.140151,0.465672,5416,7219,0.500000000000
3159916,2.603373,2.127495,0.475879,2.140169,0.463204,5416,7219,0.500000000000
3177964,2.601562,2.128137,0.473426,2.140191,0.461372,5416,7219,0.500000000000
3192643,2.602437,2.128252,0.474185,2.140208,0.462228,5416,7219,0.500000000000
3201973,2.598668,2.126699,0.471969,2.140219,0.458449,5416,7219,0.500000000000
3226558,2.596537,2.128872,0.467665,2.140248,0.456289,5416,7219,0.500000000000
3235957,2.604722,2.128731,0.475991,2.140259,0.464463,5416,7219,0.500000000000
3245252,2.608783,2.128363,0.480420,2.140270,0.468513,5416,7219,0.500000000000
3260314,2.604682,2.128712,0.475970,2.140287,0.464395,5416,7219,0.500000000000
3275093,2.605763,2.129033,0.476729,2.140304,0.465459,5416,7219,0.500000000000
3290396,2.600457,2.128221,0.472236,2.140322,0.460135,5416,7219,0.500000000000
3317926,2.603487,2.130585,0.472903,2.140353,0.463135,5416,7219,0.500000000000
3326234,2.605172,2.130125,0.475048,2.140362,0.464810,5416,7219,0.500000000000
3341761,2.604131,2.130493,0.473638,2.140380,0.463751,5416,7219,0.500000000000
3354079,2.597185,2.128470,0.468714,2.140393,0.456791,5416,7219,0.500000000000
3364727,2.596771,2.129368,0.467402,2.140405,0.456365,5416,7219,0.500000000000
3380669,2.605672,2.129761,0.475911,2.140423,0.465249,5416,7219,0.500000000000
3395806,2.609983,2.131027,0.478956,2.140440,0.469543,5416,7219,0.500000000000
3411274,2.603699,2.132315,0.471384,2.140457,0.463242,5416,7219,0.500000000000
3425579,2.611718,2.132346,0.479372,2.140472,0.471246,5416,7219,0.500000000000
3434458,2.611137,2.131198,0.479939,2.140482,0.470655,5416,7219,0.500000000000
3439621,2.611954,2.131624,0.480330,2.140488,0.471467,5416,7219,0.500000000000
