START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
(17#)29/2,7515967,2.611962,7657613,2.631518,-7.459203e-03,0.025357,-7.712269e-01,OUTLIER
(17#)15,7808617,2.611891,7912889,2.632082,-7.700688e-03,0.024755,-8.156332e-01,OUTLIER
(17#)31/2,8143934,2.607556,8168117,2.632612,-9.563125e-03,0.024190,-1.035800e+00,OUTLIER
(17#)16,8377064,2.615094,8388608,2.633111,-6.865994e-03,0.023656,-7.616250e-01,OUTLIER
(17#)33/2,8527412,2.609130,8678669,2.633583,-9.328444e-03,0.023151,-1.056239e+00,OUTLIER
(17#)17,8870593,2.615707,8933917,2.634028,-6.979809e-03,0.022674,-8.080180e-01,OUTLIER
(17#)35/2,9121549,2.613892,9189157,2.634449,-7.833754e-03,0.022221,-9.251159e-01,OUTLIER
(17#)18,9307022,2.615493,9444403,2.634849,-7.373267e-03,0.021792,-8.882159e-01,OUTLIER
(17#)37/2,9601418,2.616651,9699667,2.635228,-7.074450e-03,0.021383,-8.687743e-01,OUTLIER
(19#),9798904,2.616429,9954907,2.635589,-7.296275e-03,0.020994,-9.126417e-01,OUTLIER
(17#)39/2,10030684,2.609830,10210177,2.635933,-9.952114e-03,0.020623,-1.265723e+00,OUTLIER
(17#)20,10279447,2.610716,10465453,2.636260,-9.736733e-03,0.020269,-1.260250e+00,OUTLIER
(17#)41/2,10509104,2.610205,10720709,2.636573,-1.005121e-02,0.019930,-1.323031e+00,OUTLIER
(17#)21,10730206,2.616253,10975927,2.636871,-7.849845e-03,0.019607,-1.051563e+00,OUTLIER
(17#)43/2,11035639,2.619300,11231219,2.637157,-6.794336e-03,0.019296,-9.254250e-01,OUTLIER
(17#)22,11262739,2.617318,11486467,2.637430,-7.654829e-03,0.018999,-1.058582e+00,OUTLIER
(17#)45/2,11722628,2.612843,11741729,2.637692,-9.465392e-03,0.018714,-1.327829e+00,OUTLIER
(17#)23,11980162,2.618144,11996939,2.637943,-7.533777e-03,0.018440,-1.073698e+00,OUTLIER
(17#)47/2,12176348,2.615986,12252197,2.638184,-8.449720e-03,0.018176,-1.221281e+00,OUTLIER
(17#)24,12503914,2.618371,12507457,2.638416,-7.626368e-03,0.017923,-1.118395e+00,OUTLIER
(17#)49/2,12674359,2.620449,12762727,2.638639,-6.917577e-03,0.017679,-1.028904e+00,OUTLIER
(17#)25,12945293,2.619810,13018003,2.638854,-7.242936e-03,0.017444,-1.091722e+00,OUTLIER
(17#)51/2,13157726,2.614254,13273207,2.639060,-9.444014e-03,0.017217,-1.440785e+00,OUTLIER
(17#)26,13383668,2.621737,13528507,2.639259,-6.661121e-03,0.016998,-1.030827e+00,OUTLIER
(17#)53/2,13598296,2.621948,13783751,2.639451,-6.653388e-03,0.016787,-1.042652e+00,OUTLIER
(17#)27,13890334,2.615375,14039023,2.639637,-9.233917e-03,0.016582,-1.463153e+00,OUTLIER
(17#)55/2,14203249,2.615943,14294261,2.639816,-9.084573e-03,0.016385,-1.457003e+00,OUTLIER
(17#)28,14546944,2.610027,14549527,2.639988,-1.141381e-02,0.016194,-1.850130e+00,OUTLIER
(19#)3/2,14653259,2.623627,14804767,2.640156,-6.280295e-03,0.016009,-1.032482e+00,OUTLIER
(17#)29,14993599,2.620451,15060043,2.640317,-7.552545e-03,0.015830,-1.254959e+00,OUTLIER
(17#)59/2,15201136,2.622150,15315281,2.640474,-6.963855e-03,0.015656,-1.170414e+00,OUTLIER
(17#)30,15512572,2.621195,15570553,2.640626,-7.385690e-03,0.015487,-1.254665e+00,OUTLIER
(17#)61/2,15580924,2.620941,15825787,2.640773,-7.538264e-03,0.015324,-1.294179e+00,OUTLIER
(17#)31,15903079,2.620396,16081027,2.640915,-7.799997e-03,0.015165,-1.353050e+00,OUTLIER
(17#)63/2,16105231,2.624621,16336301,2.641053,-6.241197e-03,0.015011,-1.094664e+00,OUTLIER
(17#)32,16453264,2.623584,16591571,2.641187,-6.687115e-03,0.014862,-1.184430e+00,OUTLIER
(17#)65/2,16618577,2.617779,16777216,2.641317,-8.951408e-03,0.014716,-1.599484e+00,OUTLIER
(17#)33,17086924,2.622329,17102077,2.641444,-7.262883e-03,0.014575,-1.311492e+00,OUTLIER
(17#)67/2,17157347,2.615508,17357339,2.641567,-9.913959e-03,0.014437,-1.805015e+00,OUTLIER
(17#)34,17438299,2.625902,17612593,2.641686,-5.992894e-03,0.014303,-1.103545e+00,OUTLIER
(17#)69/2,17754362,2.624263,17867827,2.641802,-6.661165e-03,0.014173,-1.237494e+00,OUTLIER
(17#)35,17939156,2.615320,18123097,2.641915,-1.011757e-02,0.014046,-1.893422e+00,OUTLIER
(17#)71/2,18252083,2.624696,18378337,2.642025,-6.580589e-03,0.013922,-1.244721e+00,OUTLIER
(17#)36,18564664,2.625098,18633599,2.642132,-6.467938e-03,0.013801,-1.234258e+00,OUTLIER
(17#)73/2,18652631,2.624112,18888851,2.642236,-6.882975e-03,0.013684,-1.324467e+00,OUTLIER
(17#)37,18955823,2.626048,19144117,2.642337,-6.183698e-03,0.013569,-1.200457e+00,OUTLIER
(17#)75/2,19271158,2.619062,19399379,2.642436,-8.884981e-03,0.013457,-1.736940e+00,OUTLIER
(19#)2,19443122,2.621885,19654597,2.642533,-7.844402e-03,0.013348,-1.546898e+00,OUTLIER
(17#)77/2,19708879,2.625817,19909867,2.642627,-6.381412e-03,0.013241,-1.269542e+00,OUTLIER
(17#)39,19998859,2.625370,20165143,2.642718,-6.586095e-03,0.013137,-1.320545e+00,OUTLIER
(17#)79/2,20283568,2.627375,20420377,2.642808,-5.856739e-03,0.013035,-1.183966e+00,OUTLIER
(17#)40,20429401,2.628649,20675653,2.642895,-5.404881e-03,0.012936,-1.101268e+00,OUTLIER
(17#)81/2,20718961,2.625233,20930909,2.642981,-6.737793e-03,0.012839,-1.382351e+00,OUTLIER
