START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
(7#)97/2,10273,2.292671,10289,1.903483,1.860321e-01,0.964365,4.035692e-01,EXPECTED
(7#)49,10369,2.243034,10391,1.895843,1.681658e-01,0.960729,3.613829e-01,EXPECTED
(11#)9/2,10462,2.194423,10499,1.952520,1.167983e-01,0.957541,2.526294e-01,EXPECTED
(7#)50,10501,2.449522,10601,1.907631,2.500307e-01,0.950698,5.699928e-01,EXPECTED
(7#)101/2,10687,2.319381,10709,1.968412,1.640732e-01,0.948693,3.699500e-01,EXPECTED
(7#)51,10786,2.430362,10799,1.933548,2.286836e-01,0.942913,5.268927e-01,EXPECTED
(7#)103/2,10883,2.318296,10909,1.916194,1.904915e-01,0.940740,4.274316e-01,EXPECTED
(7#)52,11023,2.452351,11003,1.921459,2.439624e-01,0.934865,5.678809e-01,EXPECTED
(7#)105/2,11054,2.258518,11087,1.940568,1.517281e-01,0.932485,3.409706e-01,EXPECTED
(7#)53,11197,2.391314,11213,1.927033,2.158615e-01,0.929061,4.997314e-01,EXPECTED
(7#)107/2,11272,2.131467,11329,1.944323,9.189663e-02,0.925055,2.023058e-01,EXPECTED
(7#)54,11353,2.334737,11443,1.971081,1.693171e-01,0.920763,3.949507e-01,EXPECTED
(7#)109/2,11461,2.347919,11549,1.938201,1.917692e-01,0.918875,4.458909e-01,EXPECTED
(11#)5,11593,2.296655,11633,1.944870,1.662586e-01,0.913442,3.851202e-01,EXPECTED
(7#)111/2,11749,2.392249,11743,1.944046,2.074626e-01,0.911615,4.916582e-01,EXPECTED
(7#)56,11839,2.348206,11863,1.966681,1.773043e-01,0.907570,4.203808e-01,EXPECTED
(7#)113/2,11932,2.392674,11969,1.953241,2.029215e-01,0.904239,4.859700e-01,EXPECTED
(7#)57,11971,2.386736,12073,1.956063,1.989930e-01,0.900020,4.785149e-01,EXPECTED
(7#)115/2,12101,2.395745,12163,1.959733,2.008860e-01,0.897439,4.858403e-01,EXPECTED
(7#)58,12281,2.223656,12281,1.971295,1.204620e-01,0.893961,2.822953e-01,EXPECTED
(7#)117/2,12326,2.217079,12347,1.969737,1.182905e-01,0.890230,2.778406e-01,EXPECTED
(7#)59,12422,2.346659,12491,1.969810,1.750555e-01,0.886565,4.250664e-01,EXPECTED
(7#)119/2,12574,2.295932,12589,1.973019,1.515740e-01,0.883857,3.653453e-01,EXPECTED
(7#)60,12671,2.225896,12703,1.977354,1.183999e-01,0.880300,2.823378e-01,EXPECTED
(11#)11/2,12757,2.354186,12809,1.978060,1.740785e-01,0.878079,4.283510e-01,EXPECTED
(7#)61,12878,2.336543,12911,1.981848,1.646427e-01,0.875479,4.051439e-01,EXPECTED
(7#)123/2,12982,2.377047,13009,2.008834,1.683045e-01,0.871501,4.225044e-01,EXPECTED
(7#)62,13049,2.340065,13121,2.014931,1.495938e-01,0.867213,3.749183e-01,EXPECTED
(7#)125/2,13142,2.381559,13229,1.992845,1.781920e-01,0.865676,4.490294e-01,EXPECTED
(7#)63,13241,2.313245,13331,1.994959,1.480278e-01,0.863569,3.685704e-01,EXPECTED
(7#)127/2,13339,2.408045,13421,1.996310,1.875147e-01,0.860017,4.787522e-01,EXPECTED
(7#)64,13451,2.365320,13537,2.002243,1.666453e-01,0.855969,4.241707e-01,EXPECTED
(7#)129/2,13646,2.418129,13649,2.002656,1.885198e-01,0.854518,4.862074e-01,EXPECTED
(7#)65,13729,2.380300,13751,2.007217,1.704773e-01,0.852017,4.378821e-01,EXPECTED
(7#)131/2,13807,2.343338,13859,2.012785,1.520571e-01,0.850090,3.888447e-01,EXPECTED
(11#)6,13943,2.508139,13963,2.011269,2.207752e-01,0.847086,5.865638e-01,EXPECTED
(7#)133/2,14051,2.389016,14029,2.012570,1.714691e-01,0.843787,4.461387e-01,EXPECTED
(7#)67,14096,2.408715,14173,2.013883,1.790287e-01,0.841942,4.689539e-01,EXPECTED
(7#)135/2,14243,2.286441,14251,2.018852,1.244674e-01,0.838198,3.192432e-01,EXPECTED
(7#)68,14332,2.428418,14369,2.021513,1.833938e-01,0.836924,4.861911e-01,EXPECTED
(7#)137/2,14411,2.316236,14489,2.040277,1.268579e-01,0.833673,3.310159e-01,EXPECTED
(7#)69,14528,2.225437,14593,2.040833,8.659524e-02,0.832372,2.217806e-01,EXPECTED
(7#)139/2,14699,2.430591,14699,2.035425,1.774298e-01,0.829337,4.764842e-01,EXPECTED
(7#)70,14779,2.470069,14797,2.030920,1.957572e-01,0.826873,5.310961e-01,EXPECTED
(7#)141/2,14831,2.313924,14869,2.035998,1.279587e-01,0.823480,3.375018e-01,EXPECTED
(7#)71,14951,2.398094,15013,2.036740,1.633238e-01,0.822034,4.395852e-01,EXPECTED
(13#)/2,15784,2.297078,16141,2.039452,1.189567e-01,0.817547,3.151207e-01,EXPECTED
(11#)7,17218,2.342733,17321,2.068409,1.245385e-01,0.797304,3.440645e-01,EXPECTED
(11#)15/2,18322,2.313856,18461,2.081186,1.059775e-01,0.776496,2.996410e-01,EXPECTED
(11#)8,18637,2.262025,19609,2.100211,7.422261e-02,0.757936,2.134930e-01,EXPECTED
(11#)17/2,20509,2.288028,20789,2.116911,7.773236e-02,0.742245,2.305398e-01,EXPECTED
(11#)9,20816,2.279925,21943,2.132395,6.689679e-02,0.729321,2.022840e-01,EXPECTED
(11#)19/2,22354,2.333078,23099,2.146943,8.314346e-02,0.715293,2.602220e-01,EXPECTED
(11#)10,23201,2.282149,24251,2.158285,5.580362e-02,0.704085,1.759219e-01,EXPECTED
(11#)21/2,24256,2.336632,25409,2.168161,7.483123e-02,0.694243,2.426686e-01,EXPECTED
(11#)11,25496,2.309603,26561,2.179665,5.790445e-02,0.685025,1.896836e-01,EXPECTED
(11#)23/2,27182,2.331847,27701,2.187231,6.402430e-02,0.677354,2.135014e-01,EXPECTED
(11#)12,27904,2.328254,28871,2.195929,5.851344e-02,0.669700,1.975885e-01,EXPECTED
(11#)25/2,29738,2.340355,30029,2.206475,5.890641e-02,0.661514,2.023842e-01,EXPECTED
(13#),30332,2.331433,31183,2.212780,5.223346e-02,0.655627,1.809764e-01,EXPECTED
(11#)27/2,31294,2.341935,32327,2.219947,5.349419e-02,0.649592,1.877917e-01,EXPECTED
(11#)14,32972,2.389670,32768,2.226303,7.081292e-02,0.644997,2.532833e-01,EXPECTED
(11#)29/2,34274,2.354215,34649,2.233029,5.284838e-02,0.640128,1.893153e-01,EXPECTED
(11#)15,35792,2.297694,35803,2.237744,2.643780e-02,0.635788,9.429244e-02,EXPECTED
(11#)31/2,36436,2.373766,36947,2.244380,5.604841e-02,0.630454,2.052267e-01,EXPECTED
(11#)16,37201,2.393769,38113,2.249365,6.222116e-02,0.626897,2.303473e-01,EXPECTED
(11#)33/2,38188,2.401751,39251,2.254108,6.344373e-02,0.623925,2.366358e-01,EXPECTED
(11#)17,39992,2.425829,40423,2.258285,7.156765e-02,0.621202,2.697094e-01,EXPECTED
