START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound
(7#)51/2,5416,1.965120,5449,2.672803,5355,8.59144749,5355,9.12165173,5407,3.958874195,4.053812576,5455,0.867364,5355,11.205326,5459,0.000000
(7#)26,5557,2.301782,5563,2.672682,5460,8.73404796,5460,9.32868501,5512,3.932997871,4.046616840,5545,0.850183,5460,11.392917,5564,0.000000
(7#)53/2,5596,2.182571,5669,2.672620,5565,8.44836872,5565,8.71878830,5617,3.935195933,4.050185810,5645,0.830795,5565,10.759674,5669,0.000000
(7#)27,5728,2.248387,5749,2.672555,5670,8.27370483,5670,8.55087561,5722,3.886062230,4.043183971,5765,0.807175,5670,10.571165,5774,0.000000
(11#)5/2,5857,2.159168,5879,2.672429,5775,9.30254452,5775,9.50061339,5827,3.949550146,4.049529602,5870,0.789158,5775,11.543527,5879,0.000000
(7#)28,5906,2.349289,5981,2.672375,5880,8.40421431,5880,8.55032099,5932,3.965006529,4.048103927,5935,0.775622,5880,10.531843,5984,0.000000
(7#)57/2,6038,2.309643,6089,2.672295,5985,8.99970987,5985,9.05311257,6037,3.969178330,4.043884225,5990,0.796200,5985,11.016379,6089,0.000000
(7#)29,6131,2.233345,6173,2.672233,6090,8.52931444,6090,8.86660386,6142,3.971519167,4.048588551,6115,0.830737,6090,10.811651,6194,0.000000
(7#)59/2,6218,2.356115,6299,2.672121,6195,8.61597314,6195,8.69963656,6247,4.002366231,4.046154087,6250,0.867854,6195,10.627475,6299,0.000000
(7#)30,6353,2.124621,6397,2.672075,6300,8.26068737,6300,8.54943114,6352,4.044700161,4.049599941,6310,0.890652,6300,10.460089,6404,0.000000
(7#)61/2,6421,2.298798,6469,2.672025,6405,8.78106455,6405,8.69418887,6457,4.017797383,4.042110990,6415,0.916694,6405,10.588600,6509,0.000000
(7#)31,6568,2.399779,6607,2.671912,6510,8.48065427,6510,8.84387731,6562,4.059555183,4.051085816,6515,0.943838,6510,10.722053,6614,0.000000
(7#)63/2,6719,2.265862,6719,2.671839,6615,8.51815935,6615,8.54880788,6667,4.043817526,4.043685497,6635,0.975486,6615,10.411617,6719,0.000000
(7#)32,6791,2.430712,6823,2.671772,6765,7.91178535,6720,8.54861281,6772,3.992504559,4.044179549,6730,1.002883,6720,10.396052,6824,0.000000
(7#)65/2,6863,2.365471,6917,2.671733,6825,9.18281598,6825,9.32561359,6877,4.055639365,4.046031080,6835,1.026114,6825,11.161128,6929,0.000000
(11#)3,7024,2.323062,7027,2.671646,6930,9.57022794,6930,9.49810045,6982,4.034484259,4.050991422,6940,1.059772,6930,11.358306,7034,0.000000
(7#)67/2,7108,2.390305,7129,2.671604,7035,8.65754455,7035,8.67954514,7087,4.008335516,4.048563044,7045,1.076644,7035,10.484036,7139,0.000000
(7#)34,7219,2.055910,7243,2.671518,7140,8.99867832,7140,9.11771327,7192,4.006742264,4.043676857,7145,1.099798,7140,10.908479,7244,0.000000
(7#)69/2,7246,2.136908,7349,2.671475,7245,8.89869542,7245,8.95476755,7297,3.982324836,4.047296377,7255,1.124610,7245,10.732289,7349,0.000000
(7#)35,7351,2.199762,7451,2.671399,7350,8.15181074,7350,8.54755750,7402,3.981201480,4.045293402,7355,1.146638,7350,10.311916,7454,0.000000
(7#)71/2,7522,2.372402,7559,2.671338,7455,8.83168226,7455,8.67119566,7507,3.968241965,4.043564318,7465,1.170307,7455,10.423059,7559,0.000000
(7#)36,7561,2.321013,7649,2.671307,7560,8.65079274,7560,8.54715332,7612,3.972123085,4.048802879,7570,1.194969,7560,10.286482,7664,0.000000
(7#)73/2,7727,2.199214,7759,2.671230,7665,8.55978200,7665,8.66741947,7717,3.945571615,4.044696417,7690,1.219459,7665,10.394841,7769,0.000000
(7#)37,7846,2.336977,7873,2.671187,7770,9.12968576,7770,8.79107181,7822,3.939594257,4.045132956,7795,1.237775,7770,10.506541,7874,0.000000
(7#)75/2,7951,2.232082,7963,2.671123,7875,7.93215960,7875,8.54665467,7927,3.925288875,4.041309917,7895,1.257271,7875,10.250763,7979,0.000000
(7#)38,8062,2.328303,8081,2.671080,7980,8.86151069,7980,9.04923277,8032,3.952135799,4.044512675,7985,1.274481,7980,10.741935,8084,0.000000
(11#)7/2,8116,2.236375,8179,2.671014,8085,9.49404748,8085,9.49598970,8137,3.953392684,4.049983648,8095,1.295020,8085,11.219730,8189,0.000000
(7#)39,8224,2.292547,8192,2.670682,8190,9.19979531,8190,9.32316868,8242,3.956252054,4.047956873,8210,1.318451,8190,10.996737,8293,0.000000
(7#)79/2,8311,2.234912,8389,2.670927,8295,8.67819577,8295,8.65701829,8347,3.967198155,4.046733233,8315,1.334740,8295,10.317578,8399,0.000000
(7#)40,8429,2.249292,8501,2.670873,8400,8.39818911,8400,8.54588363,8452,4.005787699,4.043483885,8420,1.359683,8400,10.196006,8504,0.000000
(7#)81/2,8599,2.329117,8609,2.670822,8505,8.54937189,8580,8.63195161,8557,3.959131350,4.040908984,8530,1.374197,8505,10.185971,8609,0.000000
(7#)41,8614,2.287560,8713,2.670774,8610,8.81029329,8610,8.76475917,8662,4.000404972,4.047353914,8615,1.386089,8610,10.394949,8714,0.000000
(7#)83/2,8777,2.179478,8819,2.670711,8715,8.50173807,8715,8.65094459,8767,4.001008602,4.045441546,8735,1.405779,8715,10.271613,8819,0.000000
(7#)42,8839,2.279660,8923,2.670664,8820,8.72119273,8820,8.54530676,8872,4.004900535,4.041994366,8830,1.423298,8820,10.156390,8924,0.000000
(7#)85/2,9014,2.281605,9029,2.670632,8925,9.64346441,8925,9.11489376,8977,4.002710432,4.049617584,8935,1.437585,8925,10.716959,9029,0.000000
(7#)43,9091,2.412999,9133,2.670587,9030,8.34206329,9030,8.75349434,9082,3.981217473,4.041700401,9055,1.456089,9030,10.346246,9134,0.000000
(7#)87/2,9173,2.323530,9239,2.670527,9135,8.48656720,9135,8.86137132,9187,4.001247760,4.042173423,9155,1.471190,9135,10.445354,9239,0.000000
(11#)4,9283,2.301998,9343,2.670483,9240,9.63749652,9240,9.49418124,9292,4.012813331,4.047586891,9260,1.492741,9240,11.111313,9344,0.000000
(7#)89/2,9349,2.396602,9439,2.670444,9345,8.48036675,9345,8.64288941,9397,4.007555190,4.046214200,9355,1.500560,9345,10.209610,9449,0.000000
(7#)45,9511,2.294051,9551,2.670398,9450,8.61855486,9450,8.54454716,9502,3.954109250,4.041113500,9470,1.519058,9450,10.102772,9554,0.000000
(7#)91/2,9649,2.163663,9649,2.670372,9555,9.35414843,9555,9.32113413,9607,3.959602402,4.048397731,9565,1.530278,9555,10.873892,9659,0.000000
(7#)46,9748,2.284701,9749,2.670332,9660,8.92495168,9660,8.95111839,9712,3.979256928,4.041817941,9665,1.544030,9660,10.493066,9764,0.000000
(7#)93/2,9817,2.375649,9829,2.670300,9765,8.57412318,9765,8.83879237,9817,4.001682188,4.050942858,9770,1.560217,9765,10.372940,9869,0.000000
(7#)47,9941,2.284239,9973,2.670244,9870,8.74177224,9870,8.73391281,9922,3.985420147,4.036512577,9895,1.574734,9870,10.260190,9974,0.000000
(7#)95/2,10078,2.360845,10079,2.670190,9975,9.24857451,9975,9.04646099,10027,3.995647101,4.049083220,9985,1.586442,9975,10.565230,10079,0.000000
(7#)48,10174,2.343381,10181,2.670165,10080,8.32911566,10080,8.54376264,10132,3.973714842,4.041625442,10085,1.599221,10080,10.054941,10184,0.000000
(7#)97/2,10273,2.292671,10289,2.670125,10185,8.32950717,10185,8.63361722,10237,3.994392599,4.043750199,10195,1.613011,10185,10.137553,10289,0.000000
(7#)49,10369,2.243034,10391,2.670075,10290,8.59384526,10290,8.54356903,10342,4.024021069,4.041033612,10315,1.627784,10290,10.040191,10394,0.000000
(11#)9/2,10462,2.194423,10499,2.670035,10395,9.44835638,10395,9.49267980,10447,4.027246934,4.049151973,10405,1.638689,10395,11.024462,10499,0.000000
(7#)50,10501,2.449522,10601,2.670011,10500,8.52416040,10500,8.54330046,10552,4.035724963,4.043083249,10510,1.653045,10500,10.025878,10603,0.000000
