START,n_geom,C_avg,Cpred_avg,Lambda_avg
11PR64,148416,4.024348,4.033701,-2.321547e-03
11PR129D2,149571,4.023152,4.032683,-2.366329e-03
13PR5,150726,4.026363,4.033599,-1.795586e-03
11PR131D2,151881,4.021994,4.033478,-2.851218e-03
11PR66,153036,4.028740,4.033046,-1.068221e-03
11PR133D2,154191,4.034701,4.033441,3.121787e-04
11PR67,155346,4.026774,4.033459,-1.658833e-03
11PR135D2,156501,4.022407,4.033258,-2.694024e-03
11PR68,157656,4.021694,4.032887,-2.779224e-03
11PR137D2,158811,4.016326,4.033096,-4.166898e-03
11PR69,159966,4.018280,4.033414,-3.759369e-03
11PR139D2,161121,4.019692,4.033168,-3.346820e-03
11PR70,162276,4.017758,4.033457,-3.899710e-03
11PR141D2,163431,4.019354,4.033020,-3.394286e-03
11PR71,164586,4.016191,4.032493,-4.050719e-03
13PR11D2,165741,4.022623,4.033500,-2.700252e-03
11PR72,166896,4.022411,4.032958,-2.618549e-03
11PR145D2,168051,4.024999,4.032988,-1.982823e-03
11PR73,169206,4.022035,4.033350,-2.809279e-03
11PR147D2,170361,4.024957,4.032970,-1.988751e-03
11PR74,171516,4.023541,4.033170,-2.390413e-03
11PR149D2,172671,4.022166,4.032789,-2.637728e-03
11PR75,173826,4.020945,4.032522,-2.875112e-03
11PR151D2,174981,4.018592,4.032999,-3.578524e-03
11PR76,176136,4.015699,4.033103,-4.324515e-03
11PR153D2,177291,4.022440,4.032669,-2.539597e-03
11PR77,178446,4.028049,4.032931,-1.211147e-03
11PR155D2,179601,4.028028,4.032456,-1.098557e-03
13PR6,180756,4.026469,4.033085,-1.641695e-03
11PR157D2,181911,4.027196,4.032798,-1.390267e-03
11PR79,183066,4.023990,4.032773,-2.180249e-03
11PR159D2,184221,4.028325,4.033163,-1.200441e-03
11PR80,185376,4.023577,4.032711,-2.267760e-03
11PR161D2,186531,4.016996,4.032729,-3.908933e-03
11PR81,187686,4.022741,4.032469,-2.415400e-03
11PR163D2,188841,4.024257,4.032832,-2.128683e-03
11PR82,189996,4.023997,4.032598,-2.135177e-03
11PR165D2,191151,4.017656,4.032656,-3.726644e-03
11PR83,192306,4.012280,4.032774,-5.094911e-03
11PR167D2,193461,4.015177,4.032860,-4.394362e-03
11PR84,194616,4.016524,4.031704,-3.772429e-03
13PR13D2,195771,4.014185,4.032519,-4.556993e-03
11PR85,196926,4.014717,4.032983,-4.539551e-03
11PR171D2,198081,4.013609,4.032817,-4.774301e-03
11PR86,199236,4.008516,4.032433,-5.948972e-03
11PR173D2,200391,4.008258,4.032188,-5.952425e-03
11PR87,201546,4.010611,4.032963,-5.557666e-03
11PR175D2,202701,4.013349,4.032245,-4.697011e-03
11PR88,203856,4.014284,4.032366,-4.494254e-03
11PR177D2,205011,4.012588,4.032685,-4.995936e-03
11PR89,206166,4.013633,4.032615,-4.718244e-03
11PR179D2,207321,4.014391,4.032190,-4.423860e-03
11PR90,208476,4.013153,4.032237,-4.744133e-03
11PR181D2,209631,4.015080,4.032096,-4.229051e-03
13PR7,210786,4.016649,4.032762,-4.003529e-03
11PR183D2,211941,4.018067,4.032401,-3.561078e-03
11PR92,213096,4.023933,4.032381,-2.097233e-03
11PR185D2,214251,4.023164,4.032118,-2.223162e-03
11PR93,215406,4.028561,4.032287,-9.244822e-04
11PR187D2,216561,4.025375,4.032293,-1.716952e-03
11PR94,217716,4.028236,4.032437,-1.042201e-03
11PR189D2,218871,4.029538,4.032034,-6.192529e-04
11PR95,220026,4.028400,4.032605,-1.043144e-03
11PR191D2,221181,4.032678,4.031995,1.693723e-04
11PR96,222336,4.028821,4.032270,-8.556727e-04
11PR193D2,223491,4.029912,4.032475,-6.356669e-04
11PR97,224646,4.029917,4.031750,-4.546027e-04
13PR15D2,225801,4.033492,4.032181,3.251290e-04
11PR98,226956,4.028911,4.032360,-8.558261e-04
11PR197D2,228111,4.029162,4.032223,-7.592316e-04
11PR99,229266,4.029957,4.032232,-5.643552e-04
11PR199D2,230421,4.030768,4.032106,-3.319856e-04
11PR100,231576,4.031054,4.031894,-2.081398e-04
11PR201D2,232731,4.030269,4.032039,-4.392668e-04
11PR101,233886,4.032269,4.032004,6.586980e-05
11PR203D2,235041,4.033860,4.031903,4.853284e-04
11PR102,236196,4.033353,4.032039,3.258817e-04
11PR205D2,237351,4.036423,4.032405,9.961009e-04
11PR103,238506,4.033324,4.031827,3.712627e-04
11PR207D2,239661,4.034302,4.031679,6.505594e-04
13PR8,240816,4.027116,4.032065,-1.228162e-03
11PR209D2,241971,4.027936,4.032554,-1.146049e-03
11PR105,243126,4.026508,4.031629,-1.271023e-03
11PR211D2,244281,4.028880,4.032135,-8.076221e-04
11PR106,245436,4.030160,4.032337,-5.400459e-04
11PR213D2,246591,4.023919,4.031546,-1.893763e-03
11PR107,247746,4.019882,4.031644,-2.921915e-03
11PR215D2,248901,4.018629,4.031787,-3.268802e-03
11PR108,250056,4.020482,4.032044,-2.871702e-03
11PR217D2,251211,4.022307,4.032464,-2.521962e-03
11PR109,252366,4.020126,4.031113,-2.729359e-03
11PR219D2,253521,4.021293,4.032259,-2.723205e-03
11PR110,254676,4.020023,4.031254,-2.789920e-03
17PRD2,262655,4.021829,4.031737,-2.460439e-03
13PR9,277676,4.015871,4.031589,-3.906111e-03
13PR19D2,292696,4.024227,4.031488,-1.802655e-03
13PR10,307715,4.016165,4.031296,-3.760231e-03
13PR21D2,322735,4.021814,4.031208,-2.333094e-03
13PR11,337754,4.026793,4.031052,-1.056984e-03
13PR23D2,352772,4.029882,4.030954,-2.659384e-04
13PR12,367790,4.023750,4.030833,-1.758870e-03
13PR25D2,382808,4.021013,4.030730,-2.413635e-03
13PR13,397826,4.025903,4.030660,-1.180965e-03
