DECADE,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg
(11#)31/2,36436,2.373766,36947,2.66600500,35805,9.802526,35805,9.80604971,36377,4.001639,4.03825506
(11#)16,37201,2.393769,38113,2.66592400,36960,9.338029,36960,9.47886983,37533,4.012229,4.03830342
(11#)33/2,38188,2.401751,39251,2.66584100,38115,9.353586,38115,9.47857955,38688,4.042901,4.03758591
(11#)17,39992,2.425829,40423,2.66576200,39270,10.201100,39270,10.11019819,39843,4.043836,4.03819516
(11#)35/2,40597,2.307754,41579,2.66568700,41055,9.763031,41055,9.53204684,40998,4.028247,4.03799362
(11#)18,41851,2.392174,42727,2.66561500,42315,9.558485,42315,9.62616082,42153,4.022976,4.03770311
(11#)37/2,43531,2.348344,43889,2.66554700,42735,9.801362,42735,9.74830457,43308,4.011115,4.03775260
(11#)19,44533,2.418503,45013,2.66548100,43890,9.903415,43890,10.03477120,44463,4.004938,4.03717752
(13#)3/2,45259,2.407217,46199,2.66541000,45045,10.267641,45045,10.33859678,45618,4.011821,4.03764463
(11#)20,46369,2.380141,47353,2.66534900,46410,9.792153,46410,9.92477041,46773,3.995088,4.03732947
(11#)41/2,47834,2.378831,48497,2.66528700,47355,9.544881,47355,9.71957662,47929,4.001174,4.03799320
(11#)21,48931,2.430664,49663,2.66522400,49140,9.403788,48510,9.47637982,49084,4.005415,4.03670950
(11#)43/2,50461,2.416903,50789,2.66516900,49665,9.652483,49665,9.70729564,50239,4.016569,4.03713913
(11#)22,51826,2.346624,51973,2.66511100,51870,9.998061,51870,9.85076268,51394,4.012629,4.03683607
(11#)45/2,52876,2.469593,53129,2.66505500,51975,9.319346,51975,9.47575949,52549,4.013069,4.03679898
(11#)23,53624,2.388364,54277,2.66500200,53130,9.893287,53130,9.92679171,53704,4.013727,4.03718822
(11#)47/2,54421,2.447211,55439,2.66494700,54285,9.782592,54285,9.68594932,54859,4.026321,4.03669296
(11#)24,56176,2.444148,56591,2.66489500,55440,9.563992,55965,9.54137925,56014,4.022016,4.03660355
(11#)49/2,57172,2.426083,57737,2.66484800,56595,9.412843,56595,9.47501581,57169,4.018045,4.03655495
