START,n_0,C_min,Npred_0,CpredAlign,Lambda_min
(11#)175/2,203128,2.520731,203279,2.450602,2.821525e-02
(11#)88,203417,2.508934,204431,2.451071,2.333306e-02
(11#)177/2,204928,2.464243,205589,2.451539,5.168696e-03
(11#)89,205924,2.529874,206699,2.451983,3.127242e-02
(11#)179/2,206984,2.513240,207877,2.452451,2.448474e-02
(11#)90,208129,2.513207,209039,2.452909,2.428486e-02
(11#)181/2,209362,2.520880,210209,2.453368,2.714633e-02
(13#)7,210557,2.506060,211349,2.453810,2.106988e-02
(11#)183/2,211459,2.494267,212507,2.454257,1.617090e-02
(11#)92,212644,2.547725,213659,2.454697,3.719752e-02
(11#)185/2,213784,2.541986,214817,2.455137,3.476314e-02
(11#)93,215854,2.563496,215983,2.455577,4.301033e-02
(11#)187/2,216917,2.525146,217121,2.456002,2.776391e-02
(11#)94,217697,2.481485,218287,2.456435,1.014626e-02
(11#)189/2,219311,2.546183,219437,2.456859,3.571152e-02
(11#)95,220453,2.532386,220589,2.457281,3.010656e-02
(11#)191/2,221332,2.526687,221747,2.457701,2.768244e-02
(11#)96,222634,2.538822,222913,2.458122,3.230263e-02
(11#)193/2,223469,2.547178,224069,2.458535,3.542025e-02
(11#)97,225002,2.551522,225223,2.458945,3.695751e-02
(13#)15/2,225892,2.548480,226379,2.459353,3.559881e-02
(11#)98,227251,2.549104,227533,2.459758,3.567897e-02
(11#)197/2,228097,2.525164,228677,2.460156,2.608106e-02
(11#)99,229234,2.519971,229841,2.460558,2.385915e-02
(11#)199/2,230848,2.518411,230999,2.460955,2.307867e-02
(11#)100,231643,2.524351,232153,2.461349,2.527461e-02
(11#)201/2,232189,2.532524,233297,2.461736,2.834969e-02
(11#)101,233978,2.534564,234463,2.462127,2.899599e-02
(11#)203/2,235028,2.506846,235607,2.462509,1.784464e-02
(11#)102,236092,2.538865,236773,2.462896,3.037934e-02
(11#)205/2,237883,2.566648,237929,2.463276,4.110841e-02
(11#)103,238892,2.539570,239081,2.463653,3.034949e-02
(11#)207/2,239857,2.497741,240209,2.464019,1.359280e-02
(13#)8,241393,2.514952,241393,2.464402,2.030469e-02
(11#)209/2,242119,2.534017,242533,2.464767,2.770859e-02
(11#)105,243043,2.536059,243703,2.465139,2.836299e-02
(11#)211/2,243736,2.522425,244859,2.465505,2.282420e-02
(11#)106,245587,2.544113,246011,2.465866,3.123882e-02
(11#)213/2,246518,2.561050,247141,2.466220,3.773083e-02
(11#)107,247868,2.534405,248323,2.466586,2.712381e-02
(11#)215/2,248867,2.548208,249463,2.466938,3.241267e-02
(11#)108,249512,2.527815,250619,2.467291,2.423431e-02
(11#)217/2,251081,2.534266,251789,2.467648,2.663857e-02
(11#)109,252071,2.523456,252937,2.467994,2.222354e-02
(11#)219/2,253741,2.514393,254083,2.468339,1.848597e-02
(11#)110,255214,2.528919,255253,2.468688,2.410523e-02
(17#)/2,259801,2.503359,262144,2.470690,1.313594e-02
(13#)9,272794,2.510783,285283,2.476951,1.356637e-02
(13#)19/2,285424,2.505523,300299,2.480642,9.980133e-03
(13#)10,303904,2.513081,315313,2.484083,1.160576e-02
(13#)21/2,324223,2.512902,330329,2.487303,1.023923e-02
(13#)11,340261,2.521429,345329,2.490322,1.241372e-02
(13#)23/2,354971,2.521369,360337,2.493165,1.124899e-02
(13#)12,366794,2.499164,375373,2.495852,1.326254e-03
(13#)25/2,386068,2.523716,390389,2.498388,1.008657e-02
(13#)13,401509,2.524416,405401,2.500792,9.402075e-03
(13#)27/2,414448,2.520611,420419,2.503075,6.981158e-03
(13#)14,431146,2.523703,435427,2.505245,7.340638e-03
(13#)29/2,448444,2.521152,450431,2.507313,5.504322e-03
(13#)15,463549,2.513127,465463,2.509291,1.527598e-03
(13#)31/2,467009,2.541140,480463,2.511176,1.186147e-02
(13#)16,488339,2.536748,495491,2.512985,9.411741e-03
