Dec,n_0,C_min,Npred_0,Cpred_min,Lambda_min
250635,251081,2.534266,251789,2.661697,-4.905984e-02
251790,252071,2.523456,252937,2.661688,-5.333112e-02
252945,253741,2.514393,254083,2.661680,-5.692608e-02
254100,255214,2.528919,255253,2.661671,-5.116218e-02
255255,259801,2.503359,262144,2.661612,-6.129852e-02
270270,272794,2.510783,285283,2.661467,-5.828282e-02
285285,285424,2.505523,300299,2.661375,-6.034541e-02
300300,303904,2.513081,315313,2.661288,-5.730073e-02
315315,324223,2.512902,330329,2.661205,-5.734077e-02
330330,340261,2.521429,345329,2.661127,-5.392391e-02
345345,354971,2.521369,360337,2.661053,-5.391990e-02
360360,366794,2.499164,375373,2.660982,-6.273895e-02
375375,386068,2.523716,390389,2.660914,-5.293725e-02
390390,401509,2.524416,405401,2.660850,-5.263587e-02
405405,414448,2.520611,420419,2.660788,-5.412099e-02
420420,431146,2.523703,435427,2.660728,-5.287250e-02
435435,448444,2.521152,450431,2.660671,-5.386241e-02
450450,463549,2.513127,465463,2.660617,-5.703026e-02
465465,467009,2.541140,480463,2.660564,-4.592533e-02
480480,488339,2.536748,495491,2.660513,-4.763602e-02
495495,498436,2.527659,510481,2.660464,-5.120697e-02
510510,515611,2.539315,524288,2.660415,-4.658777e-02
525525,535858,2.540830,540539,2.660371,-4.597479e-02
540540,548461,2.531963,555523,2.660326,-4.945378e-02
555555,569077,2.543991,570569,2.660283,-4.469840e-02
570570,571262,2.550486,585581,2.660242,-4.213317e-02
585585,588338,2.563074,600577,2.660201,-3.719436e-02
600600,612022,2.551653,615607,2.660162,-4.164564e-02
615615,621472,2.552996,630613,2.660123,-4.110479e-02
630630,633967,2.541689,645641,2.660086,-4.552963e-02
645645,656629,2.539026,660659,2.660050,-4.656438e-02
660660,674719,2.554681,675643,2.660015,-4.040440e-02
675675,686398,2.527108,690689,2.659980,-5.124304e-02
690690,703568,2.559020,705689,2.659947,-3.868183e-02
705705,713309,2.554701,720703,2.659914,-4.035860e-02
720720,733528,2.558252,735733,2.659882,-3.895755e-02
735735,748691,2.568782,750749,2.659851,-3.483825e-02
750750,758411,2.555201,765763,2.659821,-4.012794e-02
765765,770558,2.532269,780733,2.659791,-4.913181e-02
780780,787162,2.561586,795793,2.659762,-3.761005e-02
795795,804191,2.552045,810809,2.659733,-4.133074e-02
810810,819212,2.562766,825821,2.659705,-3.712807e-02
825825,831373,2.564720,840839,2.659678,-3.635575e-02
840840,850253,2.564273,855851,2.659651,-3.651990e-02
855855,860422,2.564422,870853,2.659625,-3.645202e-02
870870,883648,2.566164,885883,2.659600,-3.576356e-02
885885,891427,2.564719,900869,2.659574,-3.631704e-02
900900,909037,2.548728,915911,2.659550,-4.256252e-02
915915,915961,2.547074,930911,2.659525,-4.320229e-02
930930,944161,2.565326,945943,2.659502,-3.605332e-02
945945,957844,2.549019,960941,2.659478,-4.242128e-02
960960,968299,2.573348,975967,2.659455,-3.291344e-02
975975,990586,2.569172,990989,2.659433,-3.452927e-02
990990,1004449,2.563918,1006003,2.659411,-3.656811e-02
1006005,1016921,2.561834,1021019,2.659389,-3.737299e-02
