START,n_geom,C_avg,Cpred_avg,Lambda_avg
(7#)10,2151,3.871467,4.054711,-4.624602e-02
(7#)21/2,2256,3.834199,4.049349,-5.459563e-02
(11#),2361,3.941892,4.058892,-2.924939e-02
(7#)23/2,2466,3.949622,4.052963,-2.582833e-02
(7#)12,2571,3.967332,4.054979,-2.185161e-02
(7#)25/2,2676,3.944872,4.046571,-2.545344e-02
(7#)13,2782,4.016696,4.056124,-9.768084e-03
(7#)27/2,2887,4.011164,4.052530,-1.025995e-02
(7#)14,2992,3.961016,4.051726,-2.264239e-02
(7#)29/2,3097,3.958835,4.052130,-2.329307e-02
(7#)15,3202,3.902501,4.049744,-3.703600e-02
(7#)31/2,3307,3.906135,4.051206,-3.646608e-02
(7#)16,3412,3.934967,4.043288,-2.715588e-02
(11#)3/2,3517,3.925535,4.058046,-3.319888e-02
(7#)17,3622,3.909336,4.053444,-3.619937e-02
(7#)35/2,3727,3.952744,4.045018,-2.307598e-02
(7#)18,3832,3.956936,4.049326,-2.308042e-02
(7#)37/2,3937,4.031398,4.046211,-3.667722e-03
(7#)19,4042,3.955871,4.058084,-2.551015e-02
(7#)39/2,4147,3.964585,4.050037,-2.132491e-02
(7#)20,4252,4.026057,4.050188,-5.975826e-03
(7#)41/2,4357,3.961867,4.047385,-2.135584e-02
(7#)21,4462,3.990033,4.047323,-1.425600e-02
(7#)43/2,4567,3.997206,4.045244,-1.194641e-02
(11#)2,4672,4.016742,4.051332,-8.574533e-03
(7#)45/2,4777,3.959576,4.049037,-2.234222e-02
(7#)23,4882,3.940226,4.048008,-2.698668e-02
(7#)47/2,4987,3.928459,4.051279,-3.078536e-02
(7#)24,5092,3.991574,4.043075,-1.281996e-02
(7#)49/2,5197,4.029584,4.053567,-5.934090e-03
(7#)25,5302,3.987333,4.040031,-1.312968e-02
(7#)51/2,5407,3.958874,4.053816,-2.369909e-02
(7#)26,5512,3.932998,4.046601,-2.847530e-02
(7#)53/2,5617,3.935196,4.050182,-2.880115e-02
(7#)27,5722,3.886062,4.043198,-3.963971e-02
(11#)5/2,5827,3.949550,4.049533,-2.499994e-02
(7#)28,5932,3.965007,4.048089,-2.073749e-02
(7#)57/2,6037,3.969178,4.043881,-1.864570e-02
(7#)29,6142,3.971519,4.048602,-1.922292e-02
(7#)59/2,6247,4.002366,4.046157,-1.088190e-02
(7#)30,6352,4.044700,4.049586,-1.207331e-03
(7#)61/2,6457,4.017797,4.042108,-6.032434e-03
(7#)31,6562,4.059555,4.051098,2.085399e-03
(7#)63/2,6667,4.043818,4.043689,3.187756e-05
(7#)32,6772,3.992505,4.044167,-1.285683e-02
(7#)65/2,6877,4.055639,4.046028,2.372693e-03
(11#)3,6982,4.034484,4.051003,-4.086017e-03
(7#)67/2,7087,4.008336,4.048566,-9.986672e-03
(7#)34,7192,4.006742,4.043665,-9.172983e-03
(7#)69/2,7297,3.982325,4.047294,-1.618262e-02
(7#)35,7402,3.981201,4.045304,-1.597312e-02
(7#)71/2,7507,3.968242,4.043567,-1.880407e-02
(7#)36,7612,3.972123,4.048792,-1.911779e-02
(7#)73/2,7717,3.945572,4.044694,-2.481201e-02
(7#)37,7822,3.939594,4.045143,-2.643921e-02
(7#)75/2,7927,3.925289,4.041312,-2.912955e-02
(7#)38,8032,3.952136,4.044502,-2.310234e-02
(11#)7/2,8137,3.953393,4.049981,-2.413810e-02
(7#)39,8242,3.956252,4.047966,-2.291752e-02
(7#)79/2,8347,3.967198,4.046736,-1.985047e-02
(7#)40,8452,4.005788,4.043474,-9.364020e-03
(7#)81/2,8557,3.959131,4.040907,-2.044444e-02
(7#)41,8662,4.000405,4.047363,-1.166995e-02
(7#)83/2,8767,4.001009,4.045444,-1.104479e-02
(7#)42,8872,4.004901,4.041985,-9.217183e-03
(7#)85/2,8977,4.002710,4.049615,-1.165016e-02
(7#)43,9082,3.981217,4.041709,-1.507995e-02
(7#)87/2,9187,4.001248,4.042176,-1.017680e-02
(11#)4,9292,4.012813,4.047578,-8.626122e-03
(7#)89/2,9397,4.007555,4.046212,-9.599785e-03
(7#)45,9502,3.954109,4.041122,-2.176694e-02
(7#)91/2,9607,3.959602,4.048400,-2.217808e-02
(7#)46,9712,3.979257,4.041810,-1.559740e-02
(7#)93/2,9817,4.001682,4.050941,-1.223435e-02
(7#)47,9922,3.985420,4.036520,-1.274029e-02
(7#)95/2,10027,3.995647,4.049085,-1.328544e-02
(7#)48,10132,3.973715,4.041617,-1.694360e-02
(7#)97/2,10237,3.994393,4.043748,-1.228053e-02
(7#)49,10342,4.024021,4.041041,-4.220668e-03
(11#)9/2,10447,4.027247,4.049154,-5.424933e-03
(7#)50,10552,4.035725,4.043076,-1.819749e-03
(7#)101/2,10657,4.053754,4.040993,3.152783e-03
(7#)51,10762,4.070227,4.048462,5.361759e-03
(7#)103/2,10867,4.004331,4.039097,-8.644560e-03
(7#)52,10972,4.036042,4.050086,-3.473587e-03
(7#)105/2,11077,3.992546,4.040991,-1.206091e-02
(7#)53,11182,4.025832,4.048674,-5.657907e-03
(7#)107/2,11287,3.981372,4.039033,-1.437878e-02
