START,n_0,C_min,Npred_0,CpredBound,Lambda_min,Jitter,JitterRatio
(7#)97/2,10273,2.292671,10289,0.485249,1.552811e+00,10.567336,1.030868e+01
(7#)49,10369,2.243034,10391,0.498094,1.504796e+00,10.567336,1.002955e+01
(11#)9/2,10462,2.194423,10499,0.498048,1.482978e+00,10.567336,9.829758e+00
(7#)50,10501,2.449522,10601,0.510880,1.567513e+00,10.567336,1.131908e+01
(7#)101/2,10687,2.319381,10709,0.508412,1.517763e+00,10.567336,1.065803e+01
(7#)51,10786,2.430362,10799,0.523730,1.534819e+00,10.567336,1.129495e+01
(7#)103/2,10883,2.318296,10909,0.521685,1.491524e+00,10.567336,1.072817e+01
(7#)52,11023,2.452351,11003,0.534926,1.522674e+00,10.567336,1.152697e+01
(7#)105/2,11054,2.258518,11119,0.531419,1.446913e+00,10.567336,1.046864e+01
(7#)53,11197,2.391314,11213,0.544762,1.479249e+00,10.567336,1.126694e+01
(7#)107/2,11272,2.131467,11329,0.558571,1.339184e+00,10.567336,9.675116e+00
(7#)54,11353,2.334737,11443,0.572611,1.405448e+00,10.567336,1.092472e+01
(7#)109/2,11461,2.347919,11549,0.584144,1.391137e+00,10.567336,1.101449e+01
(11#)5,11593,2.296655,11633,0.596725,1.347753e+00,10.567336,1.067645e+01
(7#)111/2,11749,2.392249,11743,0.609269,1.367729e+00,10.567336,1.128124e+01
(7#)56,11839,2.348206,11863,0.621978,1.328502e+00,10.567336,1.100987e+01
(7#)113/2,11932,2.392674,11969,0.633590,1.328765e+00,10.567336,1.129824e+01
(7#)57,11971,2.386736,12073,0.643331,1.311023e+00,10.567336,1.127405e+01
(7#)115/2,12101,2.395745,12163,0.657835,1.292495e+00,10.567336,1.130442e+01
(7#)58,12281,2.223656,12281,0.667048,1.204046e+00,10.567336,1.020240e+01
(7#)117/2,12326,2.217079,12379,0.680216,1.181535e+00,10.567336,1.013624e+01
(7#)59,12422,2.346659,12491,0.689039,1.225450e+00,10.567336,1.101054e+01
(7#)119/2,12574,2.295932,12589,0.702094,1.184827e+00,10.567336,1.065228e+01
(7#)60,12671,2.225896,12703,0.710854,1.141448e+00,10.567336,1.019786e+01
(11#)11/2,12757,2.354186,12809,0.721822,1.182172e+00,10.567336,1.105979e+01
(7#)61,12878,2.336543,12911,0.732904,1.159413e+00,10.567336,1.093335e+01
(7#)123/2,12982,2.377047,13009,0.742430,1.163686e+00,10.567336,1.121122e+01
(7#)62,13049,2.340065,13121,0.753934,1.132629e+00,10.567336,1.095250e+01
(7#)125/2,13142,2.381559,13229,0.762671,1.138684e+00,10.567336,1.125125e+01
(7#)63,13241,2.313245,13331,0.773625,1.095319e+00,10.567336,1.076541e+01
(7#)127/2,13339,2.408045,13421,0.782330,1.124294e+00,10.567336,1.142795e+01
(7#)64,13451,2.365320,13537,0.791725,1.094454e+00,10.567336,1.113700e+01
(7#)129/2,13646,2.418129,13649,0.802076,1.103546e+00,10.567336,1.151217e+01
(7#)65,13729,2.380300,13751,0.811270,1.076381e+00,10.567336,1.124314e+01
(7#)131/2,13807,2.343338,13859,0.818590,1.051748e+00,11.102550,1.046362e+01
(11#)6,13943,2.508139,13963,0.823159,1.114147e+00,11.102550,1.163174e+01
(7#)133/2,14051,2.389016,14057,0.831080,1.055911e+00,11.102550,1.081193e+01
(7#)67,14096,2.408715,14173,0.839813,1.053669e+00,11.102550,1.095901e+01
(7#)135/2,14243,2.286441,14251,0.848731,9.910094e-01,11.102550,1.008630e+01
(7#)68,14332,2.428418,14369,0.857229,1.041290e+00,11.102550,1.109486e+01
(7#)137/2,14411,2.316236,14489,0.866037,9.837711e-01,11.102550,1.030810e+01
(7#)69,14528,2.225437,14593,0.874775,9.337419e-01,11.102550,9.655073e+00
(7#)139/2,14699,2.430591,14699,0.879279,1.016787e+00,11.590518,1.068355e+01
