START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
(11#)139/2,161659,2.491347,161683,2.069325,1.856011e-01,0.030506,1.383407e+01
(11#)70,162353,2.507294,162853,2.072266,1.905614e-01,0.030324,1.434600e+01
(11#)141/2,163297,2.519915,163997,2.075402,1.940703e-01,0.030145,1.474583e+01
(11#)71,164954,2.477786,165161,2.078293,1.758185e-01,0.029966,1.333154e+01
(13#)11/2,165701,2.520785,166319,2.081344,1.915565e-01,0.029793,1.474981e+01
(11#)72,166351,2.526473,167471,2.084461,1.923140e-01,0.029617,1.492427e+01
(11#)145/2,167809,2.490909,168629,2.087122,1.768616e-01,0.029450,1.371093e+01
(11#)73,168814,2.509419,169783,2.090082,1.828480e-01,0.029282,1.432064e+01
(11#)147/2,170539,2.495056,170927,2.092742,1.758360e-01,0.029116,1.381763e+01
(11#)74,171694,2.497959,172093,2.095675,1.755983e-01,0.028950,1.389582e+01
(11#)149/2,172849,2.504239,173249,2.098517,1.767540e-01,0.028790,1.409246e+01
(11#)75,174214,2.457750,174389,2.101090,1.567900e-01,0.028629,1.245800e+01
(11#)151/2,174814,2.514062,175543,2.103869,1.781217e-01,0.028471,1.440740e+01
(11#)76,176551,2.496728,176713,2.106383,1.700088e-01,0.028315,1.378580e+01
(11#)153/2,177841,2.524335,177841,2.109136,1.796993e-01,0.028160,1.474428e+01
(11#)77,178898,2.502055,179021,2.111819,1.695627e-01,0.028007,1.393352e+01
(11#)155/2,179083,2.529322,180179,2.114192,1.792786e-01,0.027857,1.490218e+01
(13#)6,180379,2.501151,181303,2.116827,1.668328e-01,0.027708,1.387051e+01
(11#)157/2,181919,2.535068,182489,2.119500,1.790402e-01,0.027559,1.507921e+01
(11#)79,182519,2.515243,183637,2.121771,1.701183e-01,0.027414,1.435296e+01
(11#)159/2,184696,2.506373,184777,2.124311,1.653892e-01,0.027271,1.400983e+01
(11#)80,185578,2.512282,185951,2.126782,1.665815e-01,0.027116,1.421670e+01
(11#)161/2,187024,2.533868,187091,2.129039,1.740763e-01,0.026987,1.500089e+01
(11#)81,187471,2.522543,188261,2.131502,1.684406e-01,0.026848,1.456500e+01
(11#)163/2,189094,2.510677,189407,2.133887,1.626072e-01,0.026700,1.411199e+01
(11#)82,189817,2.521375,190573,2.136082,1.658311e-01,0.026575,1.449833e+01
(11#)165/2,191626,2.523077,191717,2.138470,1.653886e-01,0.026440,1.454641e+01
(11#)83,191768,2.509171,192883,2.140835,1.587565e-01,0.026294,1.400837e+01
(11#)167/2,193639,2.501153,194027,2.142894,1.545946e-01,0.026175,1.368707e+01
(11#)84,194767,2.519507,195193,2.145219,1.608216e-01,0.026045,1.437082e+01
(13#)13/2,195751,2.518018,196337,2.147485,1.591747e-01,0.027305,1.357015e+01
(11#)85,197402,2.512439,197479,2.149509,1.560146e-01,0.027170,1.335775e+01
(11#)171/2,198046,2.523633,198659,2.151714,1.594348e-01,0.027038,1.375542e+01
(11#)86,199021,2.495353,199813,2.153948,1.471278e-01,0.026905,1.268928e+01
(11#)173/2,200899,2.517394,200929,2.155855,1.550368e-01,0.026776,1.350235e+01
(11#)87,201904,2.515768,202121,2.158014,1.533898e-01,0.026647,1.342568e+01
(11#)175/2,203128,2.520731,203279,2.160157,1.543680e-01,0.026520,1.359630e+01
(11#)88,203417,2.508934,204431,2.162282,1.486938e-01,0.026381,1.314021e+01
(11#)177/2,204928,2.464243,205589,2.164119,1.298713e-01,0.026269,1.142503e+01
(11#)89,205924,2.529874,206699,2.166214,1.551886e-01,0.026145,1.390935e+01
(11#)179/2,206984,2.513240,207877,2.168253,1.476510e-01,0.026023,1.325700e+01
(11#)90,208129,2.513207,209039,2.170108,1.467827e-01,0.025898,1.324809e+01
(11#)181/2,209362,2.520880,210209,2.172056,1.489339e-01,0.025782,1.352975e+01
(13#)7,210557,2.506060,211349,2.174056,1.421173e-01,0.025664,1.293656e+01
(11#)183/2,211459,2.494267,212507,2.176014,1.365001e-01,0.025546,1.245804e+01
(11#)92,212644,2.547725,213659,2.177730,1.569178e-01,0.025430,1.454955e+01
(11#)185/2,213784,2.541986,214817,2.179687,1.537644e-01,0.025315,1.431163e+01
(11#)93,215854,2.563496,215983,2.181562,1.613308e-01,0.025201,1.515551e+01
(11#)187/2,216917,2.525146,217121,2.183496,1.453716e-01,0.025087,1.361861e+01
(11#)94,217697,2.481485,218287,2.185121,1.271860e-01,0.024975,1.186643e+01
(11#)189/2,219311,2.546183,219437,2.187006,1.520619e-01,0.024865,1.444508e+01
(11#)95,220453,2.532386,220589,2.188793,1.458117e-01,0.024756,1.387918e+01
