FIRST,LAST,START,minAt,G(minAt),maxAt,G(maxAt),n_0,C_min(n_0),n_1,C_max(n_1),n_geom,<COUNT>,C_avg
7770,7874,(7#)37,7846,114,7770,442,7846,2.336977,7770,9.12968576,7822,191.695238,3.939594257
7875,7979,(7#)75/2,7951,110,7875,388,7951,2.232082,7875,7.93215960,7927,192.990476,3.925288875
7980,8084,(7#)38,8062,116,7980,438,8062,2.328303,7980,8.86151069,8032,196.304762,3.952135799
8085,8189,(11#)7/2,8116,112,8085,474,8116,2.236375,8085,9.49404748,8137,198.361905,3.953392684
8190,8294,(7#)39,8224,116,8190,464,8224,2.292547,8190,9.19979531,8242,200.495238,3.956252054
8295,8399,(7#)79/2,8311,114,8295,442,8311,2.234912,8295,8.67819577,8347,203.047619,3.967198155
8400,8504,(7#)40,8429,116,8400,432,8429,2.249292,8400,8.39818911,8452,207.028571,4.005787699
8505,8609,(7#)81/2,8599,122,8505,444,8599,2.329117,8505,8.54937189,8557,206.590476,3.959131350
8610,8714,(7#)41,8614,120,8610,462,8614,2.287560,8610,8.81029329,8662,210.742857,4.000404972
8715,8819,(7#)83/2,8777,116,8715,450,8777,2.179478,8715,8.50173807,8767,212.761905,4.001008602
8820,8924,(7#)42,8839,122,8820,466,8839,2.279660,8820,8.72119273,8872,214.952381,4.004900535
8925,9029,(7#)85/2,9014,124,8925,520,9014,2.281605,8925,9.64346441,8977,216.819048,4.002710432
9030,9134,(7#)43,9091,132,9030,454,9091,2.412999,9030,8.34206329,9082,217.619048,3.981217473
9135,9239,(7#)87/2,9173,128,9135,466,9173,2.323530,9135,8.48656720,9187,220.685714,4.001247760
9240,9344,(11#)4,9283,128,9240,534,9283,2.301998,9240,9.63749652,9292,223.295238,4.012813331
9345,9449,(7#)89/2,9349,134,9345,474,9349,2.396602,9345,8.48036675,9397,224.971429,4.007555190
9450,9554,(7#)45,9511,130,9450,486,9511,2.294051,9450,8.61855486,9502,223.904762,3.954109250
9555,9659,(7#)91/2,9649,124,9555,532,9649,2.163663,9555,9.35414843,9607,226.152381,3.959602402
9660,9764,(7#)46,9748,132,9660,512,9748,2.284701,9660,8.92495168,9712,229.219048,3.979256928
9765,9869,(7#)93/2,9817,138,9765,496,9817,2.375649,9765,8.57412318,9817,232.457143,4.001682188
9870,9974,(7#)47,9941,134,9870,510,9941,2.284239,9870,8.74177224,9922,233.447619,3.985420147
9975,10079,(7#)95/2,10078,140,9975,544,10078,2.360845,9975,9.24857451,10027,235.980952,3.995647101
10080,10184,(7#)48,10174,140,10080,494,10174,2.343381,10080,8.32911566,10132,236.609524,3.973714842
10185,10289,(7#)97/2,10273,138,10185,498,10273,2.292671,10185,8.32950717,10237,239.771429,3.994392599
10290,10394,(7#)49,10369,136,10290,518,10369,2.243034,10290,8.59384526,10342,243.485714,4.024021069
10395,10499,(11#)9/2,10462,134,10395,574,10462,2.194423,10395,9.44835638,10447,245.619048,4.027246934
10500,10604,(7#)50,10501,150,10500,522,10501,2.449522,10500,8.52416040,10552,248.076190,4.035724963
10605,10709,(7#)101/2,10687,144,10605,546,10687,2.319381,10605,8.84761592,10657,251.123810,4.053753666
10710,10814,(7#)51,10786,152,10710,554,10786,2.430362,10710,8.90730621,10762,254.095238,4.070227225
10815,10919,(7#)103/2,10883,146,10815,542,10883,2.318296,10815,8.64871912,10867,251.885714,4.004331436
10920,11024,(7#)52,11023,156,10920,596,11023,2.452351,10920,9.43768576,10972,255.809524,4.036042472
11025,11129,(7#)105/2,11054,144,11025,544,11054,2.258518,11025,8.55056947,11077,254.952381,3.992545989
11130,11234,(7#)53,11197,154,11130,550,11197,2.391314,11130,8.57999332,11182,258.990476,4.025832058
11235,11339,(7#)107/2,11272,138,11235,564,11272,2.131467,11235,8.73451914,11287,258.019048,3.981372281
11340,11444,(7#)54,11353,152,11385,550,11353,2.334737,11385,8.42939459,11392,261.219048,4.001538883
11445,11549,(7#)109/2,11461,154,11445,562,11461,2.347919,11445,8.57779617,11497,261.123810,3.971367973
11550,11654,(11#)5,11593,152,11550,626,11593,2.296655,11550,9.48545130,11602,265.161905,4.004035652
11655,11759,(7#)111/2,11749,160,11655,572,11749,2.392249,11655,8.60649982,11707,266.514286,3.996074489
11760,11864,(7#)56,11839,158,11760,562,11839,2.348206,11760,8.39587779,11812,267.085714,3.976595295
11865,11969,(7#)113/2,11932,162,11865,564,11932,2.392674,11865,8.36774564,11917,269.314286,3.981939577
11970,12074,(7#)57,11971,162,11970,610,11971,2.386736,11970,8.98693403,12022,272.590476,4.002691818
12075,12179,(7#)115/2,12101,164,12075,586,12101,2.395745,12075,8.57491459,12127,277.352381,4.044790224
12180,12284,(7#)58,12281,154,12180,610,12281,2.223656,12180,8.86473307,12232,277.466667,4.019047077
12285,12389,(7#)117/2,12326,154,12285,636,12326,2.217079,12285,9.18105503,12337,280.971429,4.042543890
12390,12494,(7#)59,12422,164,12390,586,12422,2.346659,12390,8.40207017,12442,280.571429,4.009926200
12495,12599,(7#)119/2,12574,162,12495,608,12574,2.295932,12495,8.66043013,12547,282.990476,4.017812412
12600,12704,(7#)60,12671,158,12600,610,12671,2.225896,12600,8.63111440,12652,279.657143,3.944461341
12705,12809,(11#)11/2,12757,168,12705,652,12757,2.354186,12705,9.16595724,12757,281.809524,3.949003822
12810,12914,(7#)61,12878,168,12810,606,12878,2.336543,12810,8.46350784,12862,282.609524,3.934690747
12915,13019,(7#)123/2,12982,172,12915,628,12982,2.377047,12915,8.71515540,12967,286.895238,3.968793455
13020,13124,(7#)62,13049,170,13020,632,13049,2.340065,13020,8.71414996,13072,289.542857,3.980025259
13125,13229,(7#)125/2,13142,174,13125,620,13142,2.381559,13125,8.49533428,13177,291.161905,3.977088234
13230,13334,(7#)63,13241,170,13230,612,13241,2.313245,13230,8.33251629,13282,291.600000,3.958164665
13335,13439,(7#)127/2,13339,178,13335,648,13339,2.408045,13335,8.76844060,13387,295.352381,3.984331941
13440,13544,(7#)64,13451,176,13440,642,13451,2.365320,13440,8.63297568,13492,298.895238,4.007289633
13545,13649,(7#)129/2,13646,182,13545,660,13646,2.418129,13545,8.82129881,13597,299.276190,3.987941190
13650,13754,(7#)65,13729,180,13650,674,13729,2.380300,13650,8.95297785,13702,301.390476,3.991797902
13755,13859,(7#)131/2,13807,178,13755,634,13807,2.343338,13755,8.37142247,13807,302.476190,3.982026588
13860,13964,(11#)6,13943,192,13860,728,13943,2.508139,13860,9.55432606,13912,304.590476,3.985946517
13965,14069,(7#)133/2,14051,184,13965,680,14051,2.389016,13965,8.87192975,14017,304.152381,3.956586634
14070,14174,(7#)67,14096,186,14070,642,14096,2.408715,14070,8.32609536,14122,307.523810,3.976916662
14175,14279,(7#)135/2,14243,178,14175,652,14243,2.286441,14175,8.40681424,14227,308.609524,3.967666525
14280,14384,(7#)68,14332,190,14280,686,14332,2.428418,14280,8.79311025,14332,312.133333,3.989705798
14385,14489,(7#)137/2,14411,182,14385,652,14411,2.316236,14385,8.30958693,14437,314.323810,3.994566370
14490,14594,(7#)69,14528,176,14490,702,14528,2.225437,14490,8.89487412,14542,316.819048,4.003206644
14595,14699,(7#)139/2,14699,194,14595,670,14699,2.430591,14595,8.44162097,14647,318.971429,4.007547902
14700,14804,(7#)70,14779,198,14700,678,14779,2.470069,14700,8.49350364,14752,321.600000,4.017750820
14805,14909,(7#)141/2,14831,186,14805,716,14831,2.313924,14805,8.91974615,14857,324.933333,4.036711663
14910,15014,(7#)71,14951,194,14910,684,14951,2.398094,14910,8.47297674,14962,325.504762,4.021344499
15015,16169,(13#)/2,15784,194,15015,846,15784,2.297078,15015,10.42234789,15581,336.458874,4.022986198
16170,17324,(11#)7,16249,206,16905,814,17218,2.342733,16170,9.36233987,16737,355.558442,4.017231800
17325,18479,(11#)15/2,18322,220,17745,864,18322,2.313856,17745,9.32207485,17893,374.188745,4.009270284
18480,19634,(11#)8,18637,218,19110,894,18637,2.262025,18480,9.31770329,19048,392.323810,3.999206331
19635,20789,(11#)17/2,20023,234,19635,990,20509,2.288028,19635,9.85407381,20204,409.435498,3.982392003
20790,21944,(11#)9,20816,240,21840,1014,20816,2.279925,20790,9.50917607,21359,428.126407,3.983191382
21945,23099,(11#)19/2,22354,260,21945,1102,22354,2.333078,21945,10.03630588,22515,450.595671,4.019335261
23100,24254,(11#)10,23201,262,23205,1144,23201,2.282149,23205,9.96342729,23670,469.913420,4.027252700
24255,25409,(11#)21/2,24256,278,24990,1106,24256,2.336632,24255,9.26316555,24825,487.906494,4.024633398
25410,26564,(11#)11,25496,286,25935,1256,25496,2.309603,25935,10.00515405,25981,503.068398,4.000939496
26565,27719,(11#)23/2,27182,304,26565,1240,27182,2.331847,26565,9.68903779,27136,520.943723,4.000845194
27720,28874,(11#)12,27904,310,28665,1312,27904,2.328254,28665,9.64300221,28291,542.616450,4.029672300
28875,30029,(11#)25/2,29738,328,29925,1284,29738,2.340355,28875,9.33805967,29446,559.449351,4.023198834
30030,31184,(13#),30332,332,30030,1454,30332,2.331433,30030,10.29324643,30602,574.545455,4.005680564
31185,32339,(11#)27/2,31294,342,31395,1408,31294,2.341935,31395,9.61692440,31757,589.160173,3.986566579
32340,33494,(11#)14,32446,362,32340,1388,32972,2.389670,32340,9.25579730,32912,608.533333,4.000521262
33495,34649,(11#)29/2,34274,370,33495,1522,34274,2.354215,33495,9.86602778,34067,626.884848,4.007956126
34650,35804,(11#)15,35792,374,35700,1502,35792,2.297694,34650,9.32153632,35222,644.670130,4.012040735
35805,36959,(11#)31/2,36436,392,35805,1596,36436,2.373766,35805,9.80252643,36377,660.006926,4.001639093
36960,38114,(11#)16,37201,402,36960,1560,37201,2.393769,36960,9.33802928,37533,678.739394,4.012229262
38115,39269,(11#)33/2,38188,412,38115,1602,38188,2.401751,38115,9.35358563,38688,700.910823,4.042900533
39270,40424,(11#)17,39992,432,39270,1790,39992,2.425829,39270,10.20109986,39843,717.993074,4.043835535
40425,41579,(11#)35/2,40597,416,41055,1776,40597,2.307754,41055,9.76303145,40998,732.006926,4.028247376
41580,42734,(11#)18,41851,442,42315,1782,41851,2.392174,42315,9.55848499,42153,747.731602,4.022975684
42735,43889,(11#)37/2,43531,448,42735,1842,43531,2.348344,42735,9.80136239,43308,762.072727,4.011114928
43890,45044,(11#)19,44533,470,43890,1902,44533,2.418503,43890,9.90341504,44463,777.355844,4.004938129
45045,46199,(13#)3/2,45259,474,45045,2014,45259,2.407217,45045,10.26764128,45618,795.094372,4.011821101
46200,47354,(11#)20,46369,478,46410,1968,46369,2.380141,46410,9.79215333,46773,808.069264,3.995087918
47355,48509,(11#)41/2,47834,490,47355,1950,47834,2.378831,47355,9.54488090,47929,825.534199,4.001173874
48510,49664,(11#)21,48658,508,49140,1980,48931,2.430664,49140,9.40378836,49084,842.599134,4.005414552
49665,50819,(11#)43/2,50461,520,49665,2050,50461,2.416903,49665,9.65248299,50239,861.109957,4.016569322
50820,51974,(11#)22,51826,516,51870,2200,51826,2.346624,51870,9.99806075,51394,876.360173,4.012628549
51975,53129,(11#)45/2,52132,550,51975,2054,52876,2.469593,51975,9.31934551,52549,892.483117,4.013069337
53130,54284,(11#)23,53624,540,53130,2220,53624,2.388364,53130,9.89328734,53704,908.618182,4.013726584
54285,55439,(11#)47/2,54421,560,54285,2234,54421,2.447211,54285,9.78259187,54859,927.445887,4.026320921
55440,56594,(11#)24,56176,574,55440,2222,56176,2.444148,55440,9.56399190,56014,942.351515,4.022016383
56595,57749,(11#)49/2,56692,576,56595,2224,57172,2.426083,56595,9.41284344,57169,957.251948,4.018045073
57750,58904,(11#)25,58789,574,58695,2322,58789,2.355012,58695,9.53919817,58324,970.961039,4.009461169
58905,60059,(11#)51/2,59074,590,58905,2476,59074,2.411060,58905,10.14218881,59479,985.561905,4.004974453
60060,61214,(13#)2,60413,604,60060,2552,61058,2.418361,60060,10.28857922,60634,1005.243290,4.021212553
61215,62369,(11#)53/2,61444,612,61215,2430,61444,2.421746,61215,9.64534908,61789,1022.408658,4.027164820
62370,63524,(11#)27,62851,630,62790,2530,63421,2.436905,62790,9.83540102,62944,1038.043290,4.027227319
63525,64679,(11#)55/2,64198,640,64155,2488,64198,2.443219,64155,9.50337581,64099,1057.606926,4.042465348
