START,n_0,C_min,Npred_0,Cbound,Lambda_min,Jitter,JitterRatio
(13#)12,366794,2.499164,375373,1.441203,5.504781e-01,0.019083,5.543997e+01
(13#)25/2,386068,2.523716,390389,1.474440,5.374542e-01,0.018436,5.691452e+01
(13#)13,401509,2.524416,405401,1.505182,5.170959e-01,0.017836,5.714476e+01
(13#)27/2,414448,2.520611,420419,1.533789,4.967602e-01,0.018202,5.421503e+01
(13#)14,431146,2.523703,435427,1.560436,4.807620e-01,0.017651,5.457294e+01
(13#)29/2,448444,2.521152,450431,1.585697,4.636919e-01,0.017129,5.461235e+01
(13#)15,463549,2.513127,465463,1.609158,4.458167e-01,0.016650,5.429243e+01
(13#)31/2,467009,2.541140,480463,1.631526,4.430970e-01,0.017062,5.331227e+01
(13#)16,488339,2.536748,495491,1.651145,4.294140e-01,0.012946,6.840746e+01
(13#)33/2,498436,2.527659,510481,1.629196,4.392069e-01,0.012608,7.126134e+01
(17#),515611,2.539315,524288,1.629991,4.433199e-01,0.012550,7.245610e+01
(13#)35/2,535858,2.540830,540539,1.659093,4.262197e-01,0.012287,7.176178e+01
(13#)18,548461,2.531963,555523,1.690898,4.037351e-01,0.012533,6.710803e+01
(13#)37/2,569077,2.543991,570569,1.721335,3.906340e-01,0.012245,6.718301e+01
(13#)19,571262,2.550486,585581,1.750392,3.764442e-01,0.011970,6.684160e+01
(13#)39/2,588338,2.563074,600577,1.772632,3.687419e-01,0.014796,5.342268e+01
(13#)20,612022,2.551653,615607,1.786615,3.564186e-01,0.014481,5.283047e+01
(13#)41/2,621472,2.552996,630613,1.800309,3.493093e-01,0.014941,5.037728e+01
(13#)21,633967,2.541689,645641,1.812996,3.378481e-01,0.014637,4.978431e+01
(13#)43/2,656629,2.539026,660659,1.825477,3.299392e-01,0.014348,4.973160e+01
(13#)22,674719,2.554681,675643,1.837329,3.296145e-01,0.014064,5.100626e+01
(13#)45/2,686398,2.527108,690689,1.848486,3.127086e-01,0.013803,4.916482e+01
(13#)23,703568,2.559020,705689,1.859422,3.193587e-01,0.013547,5.164228e+01
(13#)47/2,713309,2.554701,720703,1.869913,3.120433e-01,0.013302,5.148008e+01
(13#)24,733528,2.558252,735733,1.880066,3.080173e-01,0.013764,4.927245e+01
(13#)49/2,748691,2.568782,750749,1.890020,3.068444e-01,0.013519,5.020800e+01
(13#)25,758411,2.555201,765763,1.899331,2.966292e-01,0.013295,4.933208e+01
(17#)3/2,770558,2.532269,780733,1.908232,2.829386e-01,0.013072,4.773845e+01
(13#)26,787162,2.561586,795793,1.917194,2.897639e-01,0.012858,5.011604e+01
(13#)53/2,804191,2.552045,810809,1.925436,2.817426e-01,0.012651,4.953039e+01
(13#)27,819212,2.562766,825821,1.933758,2.816219e-01,0.013118,4.794999e+01
(13#)55/2,831373,2.564720,840839,1.941727,2.782715e-01,0.012908,4.826410e+01
(13#)28,850253,2.564273,855851,1.949181,2.742657e-01,0.012716,4.837150e+01
(13#)57/2,860422,2.564422,870853,1.956604,2.705228e-01,0.012526,4.852451e+01
(13#)29,883648,2.566164,885883,1.963816,2.675227e-01,0.012342,4.880473e+01
(13#)59/2,891427,2.564719,900869,1.970786,2.634165e-01,0.012163,4.883113e+01
(13#)30,909037,2.548728,915911,1.977524,2.537489e-01,0.011990,4.764003e+01
(13#)61/2,915961,2.547074,930911,1.984034,2.498131e-01,0.011822,4.762646e+01
(13#)31,944161,2.565326,945943,1.990519,2.536902e-01,0.012280,4.680839e+01
(13#)63/2,957844,2.549019,960941,1.996781,2.441722e-01,0.012116,4.557923e+01
(13#)32,968299,2.573348,975967,2.002684,2.507195e-01,0.011954,4.773833e+01
(13#)65/2,990586,2.569172,990989,2.008499,2.461960e-01,0.011795,4.753480e+01
(13#)33,1004449,2.563918,1006003,2.014291,2.412693e-01,0.011644,4.720259e+01
(13#)67/2,1016921,2.561834,1021019,2.019661,2.377937e-01,0.011495,4.716599e+01
