START,n_geom,C_avg,Cpred_avg,Lambda_avg
(7PR)59,12442,4.795077,3.997360,1.819554e-01
(7PR)119/2,12547,4.841114,4.007522,1.889716e-01
(7PR)60,12652,4.334717,3.990853,8.265133e-02
(11PR)11/2,12757,4.196293,4.004709,4.673038e-02
(7PR)61,12862,4.083223,4.000392,2.049433e-02
(7PR)123/2,12967,4.106982,3.995836,2.743568e-02
(7PR)62,13072,4.242630,4.005139,5.760494e-02
(7PR)125/2,13177,3.846739,3.999372,-3.891145e-02
(7PR)63,13282,3.698310,3.998122,-7.794879e-02
(7PR)127/2,13387,3.306123,3.998515,-1.901466e-01
(7PR)64,13492,3.520232,4.001360,-1.281075e-01
(7PR)129/2,13597,4.021779,3.992446,7.320390e-03
(7PR)65,13702,4.159372,4.008024,3.706556e-02
(7PR)131/2,13807,4.261700,3.997319,6.404430e-02
(11PR)6,13912,3.854421,4.001843,-3.753423e-02
(7PR)133/2,14017,3.194798,4.001225,-2.250768e-01
(7PR)67,14122,2.772830,3.999012,-3.661789e-01
(7PR)135/2,14227,3.071165,3.999571,-2.641300e-01
(7PR)68,14332,3.262856,4.001195,-2.039902e-01
(7PR)137/2,14437,3.663188,3.999905,-8.793696e-02
(7PR)69,14542,4.531068,3.999796,1.247143e-01
(7PR)139/2,14647,4.780209,4.000329,1.781078e-01
(7PR)70,14752,4.662410,3.996117,1.542093e-01
(7PR)141/2,14857,4.106036,4.002169,2.562152e-02
(7PR)71,14962,4.232170,3.993842,5.796119e-02
(13PR)/2,15581,4.246893,4.000451,5.978058e-02
(11PR)7,16737,3.654057,3.999715,-9.038486e-02
(11PR)15/2,17893,4.205592,4.000046,5.010922e-02
(11PR)8,19048,3.425795,3.999597,-1.548601e-01
(11PR)17/2,20204,4.034093,4.000310,8.409443e-03
(11PR)9,21359,4.243922,4.000060,5.917848e-02
(11PR)19/2,22515,4.074546,3.999807,1.851304e-02
(11PR)10,23670,4.191808,4.000182,4.679228e-02
(11PR)21/2,24825,3.431040,3.999831,-1.533888e-01
(11PR)11,25981,4.067773,4.000154,1.676272e-02
(11PR)23/2,27136,3.774607,3.999949,-5.798551e-02
(11PR)12,28291,4.161975,4.000114,3.966686e-02
(11PR)25/2,29446,3.736364,3.999415,-6.803503e-02
(13PR),30602,3.814229,4.000553,-4.769407e-02
(11PR)27/2,31757,3.890050,4.000231,-2.793019e-02
(11PR)14,32912,4.480248,3.999488,1.135121e-01
(11PR)29/2,34067,4.078821,4.000259,1.944895e-02
(11PR)15,35222,3.745720,4.000070,-6.569800e-02
(11PR)31/2,36377,4.023429,3.999921,5.859993e-03
(11PR)16,37533,3.922060,4.000093,-1.970059e-02
(11PR)33/2,38688,3.854693,3.999507,-3.687969e-02
(11PR)17,39843,3.822711,4.000226,-4.539111e-02
(11PR)35/2,40998,4.018836,4.000134,4.664498e-03
(11PR)18,42153,4.626529,3.999954,1.455239e-01
(11PR)37/2,43308,3.685657,4.000108,-8.187249e-02
(11PR)19,44463,3.886020,3.999643,-2.881976e-02
(13PR)3/2,45618,3.650813,4.000204,-9.139543e-02
(11PR)20,46773,3.803051,3.999984,-5.048669e-02
(11PR)41/2,47929,3.956842,4.000734,-1.103163e-02
(11PR)21,49084,4.205103,3.999555,5.011566e-02
(11PR)43/2,50239,3.954903,4.000068,-1.135515e-02
(11PR)22,51394,4.009793,3.999849,2.482982e-03
(11PR)45/2,52549,3.940814,3.999895,-1.488083e-02
(11PR)23,53704,3.963901,4.000364,-9.156670e-03
(11PR)47/2,54859,3.933224,3.999952,-1.682278e-02
(11PR)24,56014,4.272270,3.999940,6.586597e-02
(11PR)49/2,57169,4.425639,3.999963,1.011296e-01
(11PR)25,58324,4.146977,4.000011,3.608248e-02
(11PR)51/2,59479,3.982171,3.999692,-4.390181e-03
(13PR)2,60634,3.625069,4.000081,-9.844139e-02
(11PR)53/2,61789,3.685310,4.000136,-8.197362e-02
(11PR)27,62944,3.918716,4.000144,-2.056640e-02
(11PR)55/2,64099,3.846629,4.000226,-3.915365e-02
(11PR)28,65254,3.824655,3.999810,-4.477847e-02
(11PR)57/2,66409,4.063351,3.999882,1.574311e-02
(11PR)29,67565,3.997326,4.000124,-6.997973e-04
(11PR)59/2,68720,3.601576,4.000042,-1.049334e-01
(11PR)30,69875,3.843695,4.000155,-3.989894e-02
(11PR)61/2,71030,4.327754,3.999969,7.876210e-02
(11PR)31,72185,4.163249,4.000110,3.997402e-02
(11PR)63/2,73340,3.929898,3.999906,-1.765724e-02
(11PR)32,74495,4.008184,4.000000,2.043877e-03
(13PR)5/2,75650,3.918308,3.999823,-2.059018e-02
(11PR)33,76805,4.010659,4.000232,2.603134e-03
(11PR)67/2,77960,3.958402,3.999554,-1.034253e-02
(11PR)34,79115,3.880043,4.000228,-3.050521e-02
(11PR)69/2,80270,4.211443,4.000542,5.137564e-02
(11PR)35,81425,4.280734,3.999747,6.789329e-02
(11PR)71/2,82580,3.957566,3.999859,-1.062986e-02
(11PR)36,83735,3.789510,3.999802,-5.400818e-02
(11PR)73/2,84890,3.850816,4.000311,-3.808708e-02
(11PR)37,86045,3.870796,4.000297,-3.290858e-02
(11PR)75/2,87200,3.801297,3.999538,-5.083656e-02
(11PR)38,88355,3.929900,4.000467,-1.779695e-02
(11PR)77/2,89510,4.036525,3.999302,9.264199e-03
(13PR)3,90665,4.128851,4.000586,3.155830e-02
(11PR)79/2,91820,4.154401,4.000318,3.779440e-02
(11PR)40,92975,4.181692,3.999697,4.449714e-02
(11PR)81/2,94130,4.245448,4.000085,5.953190e-02
(11PR)41,95285,4.113651,3.999932,2.803360e-02
(11PR)83/2,96440,3.896413,4.000698,-2.641234e-02
(11PR)42,97595,3.761012,3.999166,-6.139793e-02
(11PR)85/2,98750,3.847667,3.999893,-3.880046e-02
(11PR)43,99905,4.008945,3.999977,2.239575e-03
(11PR)87/2,101060,4.114056,4.000358,2.802561e-02
(11PR)44,102215,3.943113,4.000078,-1.434324e-02
(11PR)89/2,103370,3.885022,4.000168,-2.920779e-02
(11PR)45,104525,3.779735,3.999457,-5.650451e-02
(13PR)7/2,105680,4.019690,4.000025,4.904220e-03
(11PR)46,106835,3.847870,4.000210,-3.882718e-02
(11PR)93/2,107990,4.000475,4.000124,8.774192e-05
(11PR)47,109145,3.892135,4.000043,-2.734708e-02
(11PR)95/2,110300,3.980091,4.000257,-5.054001e-03
(11PR)48,111456,3.862160,3.999730,-3.500032e-02
(11PR)97/2,112611,3.905577,4.000284,-2.395987e-02
(11PR)49,113766,3.868106,3.999984,-3.352529e-02
(11PR)99/2,114921,3.906428,3.999897,-2.364538e-02
(11PR)50,116076,4.005979,4.000183,1.448056e-03
(11PR)101/2,117231,3.968696,3.999691,-7.779436e-03
(11PR)51,118386,3.910289,4.000479,-2.280273e-02
(11PR)103/2,119541,4.054615,3.999462,1.369584e-02
(13PR)4,120696,4.163920,4.000078,4.014294e-02
(11PR)105/2,121851,4.189496,4.000299,4.621134e-02
(11PR)53,123006,4.116793,3.999986,2.878343e-02
(11PR)107/2,124161,4.025112,3.999897,6.284033e-03
(11PR)54,125316,3.905389,4.000256,-2.400081e-02
(11PR)109/2,126471,3.936345,3.999963,-1.603250e-02
(11PR)55,127626,4.029437,3.999704,7.406427e-03
(11PR)111/2,128781,4.054586,3.999996,1.355529e-02
(11PR)56,129936,4.021095,4.000416,5.155979e-03
(11PR)113/2,131091,3.974112,3.999838,-6.452343e-03
(11PR)57,132246,3.878181,4.000051,-3.094089e-02
(11PR)115/2,133401,3.932193,4.000306,-1.717359e-02
(11PR)58,134556,4.115635,3.999441,2.863858e-02
(13PR)9/2,135711,4.110058,4.000475,2.702391e-02
(11PR)59,136866,4.175953,3.999423,4.319240e-02
(11PR)119/2,138021,4.110765,4.000405,2.721361e-02
(11PR)60,139176,4.026285,4.000371,6.456983e-03
(11PR)121/2,140331,4.057422,3.999920,1.427351e-02
