START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
7PR67/2,7069,2.554651,7103,2.862724,7035,9.03219824,7035,9.30051382,7087,4.254209156,4.338165612,7043,2.573383,7035,9.58992358,7039,1.457201,7035,10.70661891
7PR34,7219,2.490658,7243,2.862128,7140,9.53385613,7140,9.76820517,7192,4.215943790,4.332161756,7151,2.573030,7140,10.05739981,7142,1.470265,7140,11.16077674
7PR69/2,7312,2.509917,7349,2.862040,7245,9.13601846,7245,9.59361189,7297,4.217513995,4.336012458,7253,2.573140,7245,9.88260543,7247,1.483167,7245,10.97282015
7PR35,7411,2.570808,7451,2.861490,7350,8.96798165,7350,9.15717975,7402,4.239622926,4.333336064,7393,2.572764,7350,9.44600724,7351,1.495817,7350,10.52352291
7PR71/2,7516,2.585750,7559,2.861401,7455,9.23762648,7455,9.28821726,7507,4.248324402,4.331247253,7477,2.572813,7455,9.57690173,7457,1.507933,7455,10.64200821
7PR36,7591,2.565480,7649,2.860875,7560,9.00835214,7560,9.15517520,7612,4.252665998,4.336613911,7649,2.572396,7560,9.44373885,7561,1.519977,7560,10.49671498
7PR73/2,7666,2.609550,7727,2.860812,7665,9.16619621,7665,9.28248816,7717,4.256422909,4.331696909,7687,2.572400,7665,9.57095244,7669,1.531737,7665,10.61206656
7PR37,7804,2.656910,7873,2.860693,7770,9.55187182,7770,9.41473762,7822,4.278352878,4.332116920,7873,2.572373,7770,9.70312324,7778,1.544104,7770,10.73263379
7PR75/2,7894,2.550259,7937,2.860203,7875,8.45481049,7875,9.15164575,7927,4.278948610,4.327334594,7937,2.571907,7875,9.43997273,7877,1.553986,7875,10.45812867
7PR38,7993,2.607285,8081,2.860087,7980,9.57925130,7980,9.68961585,8032,4.287774471,4.330715431,8081,2.571827,7980,9.97789514,7993,1.566352,7980,10.98480238
11PR7/2,8111,2.618053,8179,2.859583,8085,10.23442418,8085,10.16792874,8137,4.286236228,4.336218779,8179,2.571326,8085,10.45618776,8087,1.576004,8085,11.45221473
7PR39,8221,2.570447,8192,2.859197,8190,9.99040210,8190,9.98120044,8242,4.272817431,4.333669825,8192,2.570940,8190,10.26945733,8192,1.585773,8190,11.25482722
7PR79/2,8311,2.528721,8389,2.859002,8295,8.93387441,8295,9.26808835,8347,4.253467575,4.332269916,8389,2.570701,8295,9.55636065,8297,1.596487,8295,10.53128891
7PR40,8431,2.539771,8501,2.858914,8400,9.04359609,8400,9.14760521,8452,4.246910238,4.328173654,8501,2.570569,8400,9.43590992,8402,1.606501,8400,10.40060461
7PR81/2,8506,2.561064,8609,2.858828,8580,9.12660853,8580,9.23957150,8557,4.243879741,4.325375886,8609,2.570417,8580,9.52796499,8506,1.616428,8580,10.47549545
7PR41,8707,2.572145,8713,2.858346,8610,9.37243136,8610,9.38164426,8662,4.255280549,4.331801219,8713,2.569855,8610,9.67005601,8612,1.626866,8610,10.61476172
