START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
13PR79,2378122,2.724636,2387383,2.720479,1.526873e-03,0.054037,7.692877e-02,EXPECTED
13PR159/2,2397011,2.728957,2402383,2.720591,3.070349e-03,0.053830,1.554152e-01,EXPECTED
13PR80,2417347,2.732538,2417399,2.720662,4.355615e-03,0.053711,2.211093e-01,EXPECTED
13PR161/2,2425117,2.728715,2432429,2.720750,2.923225e-03,0.053558,1.487173e-01,EXPECTED
13PR81,2439314,2.736460,2447437,2.720837,5.725561e-03,0.053411,2.925053e-01,EXPECTED
13PR163/2,2448106,2.732740,2462443,2.720955,4.321847e-03,0.053235,2.213769e-01,EXPECTED
13PR82,2473444,2.723779,2477471,2.721026,1.011239e-03,0.053082,5.186316e-02,EXPECTED
13PR165/2,2485981,2.735997,2492461,2.721115,5.454180e-03,0.052957,2.810205e-01,EXPECTED
13PR83,2503822,2.734057,2507489,2.721183,4.719874e-03,0.052812,2.437704e-01,EXPECTED
13PR167/2,2516044,2.724987,2522503,2.721299,1.354318e-03,0.052675,7.001424e-02,EXPECTED
13PR84,2522974,2.733513,2537527,2.721386,4.446286e-03,0.052492,2.310257e-01,EXPECTED
13PR169/2,2539228,2.730720,2552531,2.721462,3.396075e-03,0.052356,1.768279e-01,EXPECTED
17PR5,2560562,2.727542,2567557,2.721502,2.216904e-03,0.052252,1.155937e-01,EXPECTED
13PR171/2,2582446,2.730012,2582551,2.721616,3.080183e-03,0.052110,1.611207e-01,EXPECTED
