START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
17PR319/2,81452782,2.532018,81681563,2.307473,9.286363e-02,99.474873,8.679936e+00
17PR160,81853052,2.546950,81936851,2.307596,9.869027e-02,99.474873,9.278126e+00
17PR321/2,82155167,2.527743,82192109,2.307710,9.107112e-02,99.474873,8.552833e+00
17PR161,82366507,2.521452,82447357,2.307822,8.853070e-02,99.474873,8.326898e+00
19PR17/2,82477687,2.513786,82702597,2.307933,8.543766e-02,99.474873,8.045876e+00
17PR162,82821562,2.524014,82957873,2.308043,8.945051e-02,99.474873,8.464538e+00
17PR325/2,83134628,2.525277,83213071,2.308151,8.990399e-02,99.474873,8.533108e+00
17PR163,83357557,2.529991,83468347,2.308265,9.171959e-02,99.474873,8.737686e+00
17PR327/2,83637971,2.527020,83723639,2.308370,9.049910e-02,100.440828,8.556837e+00
17PR164,83780311,2.526756,83978893,2.308474,9.034957e-02,100.440828,8.565621e+00
17PR329/2,84102724,2.517623,84234149,2.308577,8.668389e-02,100.440828,8.225388e+00
17PR165,84425378,2.506024,84489347,2.308678,8.202237e-02,100.440828,7.785968e+00
17PR331/2,84719588,2.538552,84744659,2.308777,9.487589e-02,100.440828,9.089791e+00
17PR166,84819146,2.530868,84999913,2.308876,9.180150e-02,101.406784,8.721572e+00
17PR333/2,85027322,2.524348,85255169,2.308973,8.917997e-02,101.406784,8.484228e+00
17PR167,85504964,2.516779,85510423,2.309068,8.613593e-02,101.406784,8.204133e+00
17PR335/2,85643216,2.515155,85765679,2.309163,8.544931e-02,101.406784,8.157861e+00
17PR168,85809974,2.529719,86020871,2.309252,9.118457e-02,101.406784,8.754242e+00
17PR337/2,86180399,2.530447,86276167,2.309341,9.143376e-02,101.406784,8.802816e+00
17PR169,86371073,2.520026,86531429,2.309431,8.726805e-02,101.406784,8.406434e+00
17PR339/2,86592563,2.534037,86786681,2.309520,9.277397e-02,101.406784,8.985706e+00
17PR170,86939618,2.533390,87041951,2.309608,9.248051e-02,101.406784,8.979747e+00
17PR341/2,87278977,2.538834,87297169,2.309694,9.458987e-02,102.391499,9.130097e+00
19PR9,87368234,2.540444,87552457,2.309774,9.518918e-02,102.391499,9.214995e+00
17PR343/2,87721454,2.539141,87807719,2.309857,9.464022e-02,102.391499,9.183407e+00
17PR172,87901228,2.529643,88062899,2.309940,9.085664e-02,102.391499,8.822437e+00
17PR345/2,88199812,2.538528,88318211,2.310021,9.432777e-02,102.391499,9.199663e+00
17PR173,88562879,2.511836,88573477,2.310095,8.372531e-02,103.376214,8.065407e+00
17PR347/2,88657484,2.531205,88828721,2.310174,9.137263e-02,103.376214,8.859280e+00
17PR174,88936391,2.521240,89083993,2.310252,8.739423e-02,103.376214,8.478384e+00
17PR349/2,89321039,2.532220,89339221,2.310322,9.170948e-02,103.376214,8.939546e+00
17PR175,89462047,2.527706,89594503,2.310398,8.989237e-02,103.376214,8.776910e+00
17PR351/2,89715751,2.537605,89849731,2.310471,9.376932e-02,103.376214,9.197050e+00
17PR176,90035567,2.531482,90105013,2.310539,9.132407e-02,103.376214,8.969005e+00
17PR353/2,90358544,2.534353,90360241,2.310610,9.242682e-02,103.376214,9.105584e+00
17PR177,90585239,2.530600,90615509,2.310675,9.091674e-02,103.376214,8.972725e+00
17PR355/2,90681581,2.531048,90870761,2.310744,9.106390e-02,104.380053,8.924081e+00
17PR178,91021811,2.526397,91126003,2.310807,8.919736e-02,104.380053,8.754976e+00
17PR357/2,91135439,2.537743,91381271,2.310874,9.364930e-02,104.380053,9.235998e+00
17PR179,91594831,2.514189,91636541,2.310934,8.429851e-02,104.380053,8.295245e+00
17PR359/2,91751197,2.522565,91891799,2.310998,8.759678e-02,104.380053,8.655899e+00
17PR180,91950007,2.536896,92147051,2.311057,9.323629e-02,104.380053,9.262677e+00
19PR19/2,92158831,2.532708,92402281,2.311116,9.155856e-02,105.383893,9.024127e+00
17PR181,92649254,2.539822,92657519,2.311175,9.433795e-02,105.383893,9.334347e+00
17PR363/2,92872289,2.528819,92912789,2.311230,8.997254e-02,105.383893,8.904714e+00
17PR182,93047687,2.524571,93168073,2.311288,8.826620e-02,105.383893,8.749858e+00
17PR365/2,93242726,2.526338,93423329,2.311341,8.894295e-02,105.383893,8.841702e+00
17PR183,93484042,2.544970,93678581,2.311393,9.626849e-02,105.383893,9.629182e+00
17PR367/2,93766604,2.537675,93933809,2.311448,9.337414e-02,105.383893,9.348817e+00
17PR184,94157816,2.531945,94189091,2.311498,9.109198e-02,105.383893,9.132016e+00
17PR369/2,94391746,2.541899,94444331,2.311547,9.499444e-02,105.383893,9.565370e+00
17PR185,94547162,2.548677,94699573,2.311594,9.763707e-02,106.407228,9.773672e+00
17PR371/2,94831756,2.549601,94954859,2.311645,9.797748e-02,106.407228,9.833223e+00
17PR186,95123129,2.538100,95210113,2.311690,9.343691e-02,106.407228,9.378508e+00
17PR373/2,95259184,2.548929,95465369,2.311735,9.767495e-02,106.407228,9.848681e+00
17PR187,95489092,2.549795,95720551,2.311778,9.799604e-02,106.407228,9.906392e+00
17PR375/2,95728936,2.544102,95975861,2.311821,9.574221e-02,106.407228,9.690633e+00
17PR188,96173171,2.534526,96231133,2.311862,9.195338e-02,107.430563,9.222737e+00
17PR377/2,96296206,2.549157,96486371,2.311906,9.769042e-02,107.430563,9.850155e+00
17PR189,96710351,2.527792,96741613,2.311946,8.925660e-02,107.430563,8.982590e+00
17PR379/2,96792944,2.529895,96996877,2.311984,9.007177e-02,107.430563,9.089849e+00
19PR10,97247867,2.542053,97252153,2.312022,9.484956e-02,107.430563,9.617922e+00
17PR381/2,97383809,2.543336,97507391,2.312058,9.533857e-02,107.430563,9.692677e+00
17PR191,97650149,2.545582,97762663,2.312094,9.620570e-02,107.430563,9.808126e+00
17PR383/2,97893052,2.538182,98017901,2.312128,9.327976e-02,107.430563,9.517939e+00
17PR192,98227361,2.519447,98273143,2.312162,8.585642e-02,107.430563,8.747930e+00
17PR385/2,98312542,2.524998,98528401,2.312194,8.804341e-02,108.473773,8.915065e+00
17PR193,98749841,2.538747,98783677,2.312226,9.345996e-02,108.473773,9.511627e+00
17PR387/2,98976467,2.530058,99038939,2.312256,9.001856e-02,108.473773,9.166578e+00
17PR194,99224128,2.530114,99294187,2.312286,9.002772e-02,108.473773,9.188730e+00
17PR389/2,99358444,2.530997,99549449,2.312315,9.036411e-02,108.473773,9.245891e+00
17PR195,99656894,2.539924,99804697,2.312342,9.387330e-02,108.473773,9.644173e+00
17PR391/2,99823459,2.524400,100059937,2.312367,8.773174e-02,109.516982,8.919954e+00
17PR196,100184269,2.521063,100315157,2.312393,8.639772e-02,109.516982,8.798435e+00
17PR393/2,100518643,2.530015,100570441,2.312417,8.993193e-02,109.516982,9.195689e+00
17PR197,100685779,2.543538,100825667,2.312441,9.525235e-02,109.516982,9.788248e+00
17PR395/2,100901887,2.535235,101080961,2.312464,9.197271e-02,109.516982,9.456891e+00
17PR198,101249794,2.535627,101336233,2.312486,9.211781e-02,109.516982,9.493922e+00
17PR397/2,101530804,2.537084,101591467,2.312506,9.268361e-02,109.516982,9.576514e+00
17PR199,101709046,2.545954,101846741,2.312526,9.616500e-02,109.516982,9.976194e+00
19PR21/2,102090064,2.541318,102101971,2.312545,9.433419e-02,109.516982,9.799091e+00
17PR200,102136682,2.541137,102357239,2.312563,9.425519e-02,109.516982,9.812387e+00
17PR401/2,102449329,2.549949,102612481,2.312579,9.771001e-02,110.580452,1.011442e+01
17PR201,102794234,2.552915,102867757,2.312596,9.886514e-02,110.580452,1.026279e+01
17PR403/2,102894377,2.545618,103112393,2.312611,9.599626e-02,110.580452,9.971630e+00
17PR202,103239553,2.554491,103378271,2.312625,9.946974e-02,110.580452,1.037455e+01
17PR405/2,103572662,2.537484,103633477,2.312638,9.278417e-02,110.580452,9.665722e+00
17PR203,103729624,2.549193,103888783,2.312651,9.738235e-02,110.580452,1.019084e+01
17PR407/2,104131451,2.542097,104144009,2.312662,9.459009e-02,111.643921,9.811944e+00
17PR204,104356061,2.541398,104399293,2.312673,9.431032e-02,111.643921,9.802957e+00
17PR409/2,104551487,2.549268,104654549,2.312683,9.739794e-02,111.643921,1.016193e+01
17PR205,104808512,2.540359,104909803,2.312692,9.389320e-02,111.643921,9.800147e+00
17PR411/2,104922137,2.552471,105165059,2.312700,9.864624e-02,111.643921,1.034357e+01
17PR206,105179356,2.548980,105420311,2.312707,9.727458e-02,111.643921,1.021472e+01
17PR413/2,105497608,2.549989,105675569,2.312713,9.766775e-02,111.643921,1.028023e+01
17PR207,105824207,2.542970,105930787,2.312718,9.490923e-02,111.643921,9.997391e+00
17PR415/2,106060949,2.544914,106186037,2.312723,9.567124e-02,111.643921,1.010324e+01
17PR208,106426577,2.547798,106441273,2.312727,9.680211e-02,111.643921,1.025048e+01
17PR417/2,106670756,2.547927,106685963,2.312730,9.685144e-02,112.728045,1.017816e+01
19PR11,106832227,2.542445,106951841,2.312732,9.469671e-02,112.728045,9.962933e+00
17PR419/2,107176276,2.542514,107207099,2.312733,9.472341e-02,112.728045,9.987092e+00
17PR210,107208226,2.543472,107462339,2.312733,9.510013e-02,112.728045,1.005002e+01
17PR421/2,107506801,2.551015,107717609,2.312732,9.806181e-02,112.728045,1.040059e+01
17PR211,107829586,2.523492,107972863,2.312730,8.721501e-02,112.728045,9.218793e+00
17PR423/2,108163529,2.546915,108228083,2.312727,9.645548e-02,112.728045,1.026505e+01
17PR212,108301717,2.555748,108483373,2.312724,9.991889e-02,113.812168,1.057307e+01
17PR425/2,108537721,2.547158,108738611,2.312720,9.655391e-02,113.812168,1.022093e+01
17PR213,108792647,2.555128,108993883,2.312715,9.968016e-02,113.812168,1.059075e+01
17PR427/2,109162384,2.544998,109249139,2.312709,9.571030e-02,113.812168,1.016964e+01
17PR214,109291502,2.555959,109504363,2.312702,1.000110e-01,113.812168,1.067201e+01
17PR429/2,109644508,2.549818,109759627,2.312694,9.760891e-02,113.812168,1.042457e+01
17PR215,109780487,2.541405,110014873,2.312686,9.430746e-02,113.812168,1.007592e+01
17PR431/2,110105978,2.549053,110270117,2.312677,9.731619e-02,113.812168,1.043479e+01
17PR216,110277434,2.535169,110525407,2.312668,9.185847e-02,113.812168,9.842558e+00
17PR433/2,110705246,2.540311,110780641,2.312657,9.388943e-02,113.812168,1.009125e+01
17PR217,110820016,2.530435,111035923,2.312645,8.999933e-02,114.917346,9.580813e+00
