START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
13PR261/2,3927556,2.600320,3933929,2.592584,2.979453e-03,0.065065,1.188965e-01,EXPECTED
13PR131,3936293,2.599760,3948911,2.592651,2.738229e-03,0.064961,1.094349e-01,EXPECTED
13PR263/2,3961283,2.606488,3963959,2.592790,5.269205e-03,0.064827,2.113008e-01,EXPECTED
13PR132,3974746,2.609044,3978971,2.592878,6.215415e-03,0.064717,2.497953e-01,EXPECTED
13PR265/2,3992123,2.608902,3993959,2.593007,6.111237e-03,0.064581,2.461250e-01,EXPECTED
13PR133,3996758,2.606043,4009003,2.593156,4.957312e-03,0.064428,2.000217e-01,EXPECTED
13PR267/2,4015034,2.596429,4024003,2.593259,1.221654e-03,0.064321,4.928406e-02,EXPECTED
13PR134,4034477,2.610102,4039019,2.593365,6.433041e-03,0.064217,2.606319e-01,EXPECTED
13PR269/2,4047991,2.608708,4054033,2.593549,5.827872e-03,0.064055,2.366560e-01,EXPECTED
13PR135,4060838,2.605187,4069063,2.593651,4.437922e-03,0.063951,1.803881e-01,EXPECTED
13PR271/2,4069376,2.607269,4084079,2.593714,5.212488e-03,0.063853,2.122845e-01,EXPECTED
17PR8,4087942,2.607185,4099093,2.593808,5.144029e-03,0.063749,2.098386e-01,EXPECTED
13PR273/2,4099112,2.611193,4114087,2.593998,6.606890e-03,0.063555,2.705531e-01,EXPECTED
13PR137,4115572,2.602570,4129109,2.594062,3.274431e-03,0.063489,1.340075e-01,EXPECTED
13PR275/2,4131313,2.600695,4144121,2.594174,2.510555e-03,0.063389,1.028727e-01,EXPECTED
13PR138,4154263,2.606322,4159153,2.594262,4.637949e-03,0.063288,1.905575e-01,EXPECTED
13PR277/2,4161457,2.607097,4174151,2.594404,4.880524e-03,0.063167,2.009435e-01,EXPECTED
13PR139,4186967,2.607727,4189183,2.594496,5.086683e-03,0.063059,2.098194e-01,EXPECTED
13PR279/2,4197376,2.593242,4204169,2.594627,-5.339379e-04,0.062922,-2.201138e-02,OUTLIER
13PR140,4208627,2.613973,4219211,2.594723,7.391519e-03,0.062814,3.064603e-01,EXPECTED
13PR281/2,4222718,2.607053,4234229,2.594816,4.704856e-03,0.062707,1.951457e-01,EXPECTED
13PR141,4242659,2.608260,4249241,2.594934,5.122250e-03,0.062586,2.129230e-01,EXPECTED
13PR283/2,4254164,2.607386,4264259,2.595041,4.745871e-03,0.062469,1.976180e-01,EXPECTED
13PR142,4270639,2.603665,4279267,2.595125,3.285383e-03,0.062382,1.368985e-01,EXPECTED
13PR285/2,4280083,2.607170,4294259,2.595248,4.583261e-03,0.062281,1.914227e-01,EXPECTED
13PR143,4298422,2.609440,4309297,2.595335,5.420036e-03,0.062178,2.268487e-01,EXPECTED
13PR287/2,4323628,2.609173,4324303,2.595472,5.264925e-03,0.062030,2.208770e-01,EXPECTED
13PR144,4333132,2.610882,4339333,2.595554,5.888114e-03,0.061936,2.474813e-01,EXPECTED
17PR17/2,4342687,2.606964,4354349,2.595670,4.341654e-03,0.061834,1.826503e-01,EXPECTED
13PR145,4354381,2.614402,4369349,2.595743,7.162595e-03,0.061751,3.021651e-01,EXPECTED
13PR291/2,4372499,2.601775,4384379,2.595862,2.275266e-03,0.061630,9.594353e-02,EXPECTED
13PR146,4392541,2.607219,4399363,2.595965,4.325820e-03,0.061508,1.829681e-01,EXPECTED
13PR293/2,4400353,2.604258,4414379,2.596108,3.134397e-03,0.061360,1.328227e-01,EXPECTED
13PR147,4416868,2.603212,4429417,2.596128,2.724963e-03,0.061337,1.154931e-01,EXPECTED
13PR295/2,4441462,2.609455,4444409,2.596274,5.064047e-03,0.061189,2.154145e-01,EXPECTED
13PR148,4447771,2.609820,4459451,2.596354,5.173100e-03,0.061101,2.203892e-01,EXPECTED
13PR297/2,4469884,2.605726,4474469,2.596447,3.567359e-03,0.061017,1.520724e-01,EXPECTED
13PR149,4475881,2.602272,4489483,2.596533,2.207816e-03,0.060930,9.419005e-02,EXPECTED
13PR299/2,4499059,2.612312,4504457,2.596698,5.995015e-03,0.060797,2.568219e-01,EXPECTED
13PR150,4512502,2.605336,4519499,2.596737,3.305993e-03,0.060706,1.416499e-01,EXPECTED
13PR301/2,4520101,2.610048,4534501,2.596815,5.082918e-03,0.060621,2.182907e-01,EXPECTED
13PR151,4540321,2.610081,4549537,2.596888,5.067450e-03,0.060545,2.179040e-01,EXPECTED
13PR303/2,4562161,2.604160,4564559,2.596992,2.756314e-03,0.060439,1.185989e-01,EXPECTED
13PR152,4568336,2.615511,4579567,2.597097,7.065207e-03,0.060328,3.052314e-01,EXPECTED
13PR305/2,4593406,2.608216,4594589,2.597183,4.239067e-03,0.060237,1.831599e-01,EXPECTED
