START,n_1,C_max,Npred_1,Cpred_max,Lambda_max
11PR99/2,114345,10.071420,114345,10.001522,6.964383e-03
11PR50,116025,10.451598,116025,10.473464,-2.089886e-03
11PR101/2,116655,10.175013,116655,10.101501,7.250965e-03
11PR51,117810,10.601060,117810,10.666635,-6.166610e-03
11PR103/2,118965,10.093619,118965,10.098359,-4.694825e-04
13PR4,120120,10.749315,120120,10.907837,-1.463949e-02
11PR105/2,121275,9.994786,121275,9.998360,-3.575425e-04
11PR53,122430,10.195543,122430,10.193900,1.611707e-04
11PR107/2,123585,9.991151,123585,10.092595,-1.010223e-02
11PR54,125580,10.213850,125580,10.282132,-6.662957e-03
11PR109/2,126945,10.111522,126945,10.152549,-4.049202e-03
11PR55,127050,9.919009,127050,9.995836,-7.715552e-03
11PR111/2,128205,10.206400,128205,10.280954,-7.278041e-03
11PR56,129675,10.318220,129675,10.390326,-6.963912e-03
11PR113/2,130515,10.008945,130515,10.084486,-7.519028e-03
11PR57,131670,10.510042,131670,10.581866,-6.810659e-03
11PR115/2,132825,10.457036,132825,10.469419,-1.183450e-03
11PR58,133980,10.308899,133980,10.363092,-5.243084e-03
13PR9/2,135135,10.741438,135135,10.900954,-1.474140e-02
11PR59,136290,10.159055,136290,10.167396,-8.206726e-04
11PR119/2,137445,10.576544,137445,10.657774,-7.650852e-03
11PR60,139230,10.425091,139230,10.463245,-3.653113e-03
11PR121/2,139755,10.057736,139755,9.990799,6.677512e-03
11PR61,140910,10.179239,140910,10.159697,1.921653e-03
11PR123/2,142065,10.187793,142065,10.246102,-5.707065e-03
11PR62,143220,10.291149,143220,10.333992,-4.154474e-03
11PR125/2,144690,9.982592,144690,9.999611,-1.703357e-03
11PR63,145530,10.053487,145530,9.988602,6.474885e-03
11PR127/2,146685,9.944832,146685,10.068102,-1.231922e-02
11PR64,147840,9.956963,147840,9.987787,-3.090873e-03
11PR129/2,148995,10.248108,148995,10.230982,1.672481e-03
13PR5,150150,10.860375,150150,10.894891,-3.173166e-03
11PR131/2,151515,10.011458,151515,10.085104,-7.329237e-03
11PR66,152460,9.974687,152460,9.986193,-1.152876e-03
11PR133/2,153615,10.512126,153615,10.573206,-5.793598e-03
11PR67,155610,10.292652,155610,10.380242,-8.474028e-03
11PR135/2,156975,10.219704,156975,10.269954,-4.904845e-03
11PR68,157080,10.623788,157080,10.650290,-2.491415e-03
11PR137/2,158340,10.155238,158340,10.165772,-1.036798e-03
11PR69,159390,10.426439,159390,10.459314,-3.148060e-03
11PR139/2,160545,10.087168,160545,10.056392,3.055644e-03
11PR70,162435,10.465737,162435,10.454801,1.045481e-03
11PR141/2,162855,10.185857,162855,10.204619,-1.840353e-03
11PR71,164010,10.138265,164010,10.127083,1.103580e-03
13PR11/2,165165,10.768372,165165,10.889509,-1.118654e-02
11PR72,166320,9.922854,166320,9.981686,-5.911435e-03
11PR145/2,167475,10.318188,167475,10.351010,-3.175975e-03
