START,n_0,C_min,Npred_0,Cpred_min,Lambda_min
11PR8,18637,2.262025,19609,2.667877,-1.650226e-01
11PR17/2,20509,2.288028,20789,2.667693,-1.535237e-01
11PR9,20816,2.279925,21943,2.667519,-1.570063e-01
11PR19/2,22354,2.333078,23099,2.667361,-1.339012e-01
11PR10,23201,2.282149,24251,2.667213,-1.559166e-01
11PR21/2,24256,2.336632,25409,2.667078,-1.322729e-01
11PR11,25496,2.309603,26561,2.666946,-1.438583e-01
11PR23/2,27182,2.331847,27701,2.666822,-1.342268e-01
11PR12,27904,2.328254,28871,2.666698,-1.357224e-01
11PR25/2,29738,2.340355,30029,2.666589,-1.304975e-01
13PR,30332,2.331433,31183,2.666477,-1.342750e-01
11PR27/2,31294,2.341935,32327,2.666375,-1.297424e-01
11PR14,32972,2.389670,32768,2.666256,-1.095200e-01
11PR29/2,34274,2.354215,34649,2.666185,-1.244413e-01
11PR15,35792,2.297694,35803,2.666091,-1.487073e-01
11PR31/2,36436,2.373766,36947,2.666005,-1.161034e-01
11PR16,37201,2.393769,38113,2.665924,-1.076816e-01
11PR33/2,38188,2.401751,39251,2.665841,-1.043215e-01
11PR17,39992,2.425829,40423,2.665762,-9.431662e-02
11PR35/2,40597,2.307754,41579,2.665687,-1.441871e-01
11PR18,41851,2.392174,42727,2.665615,-1.082322e-01
11PR37/2,43531,2.348344,43889,2.665547,-1.266989e-01
11PR19,44533,2.418503,45013,2.665481,-9.723578e-02
13PR3/2,45259,2.407217,46199,2.665410,-1.018866e-01
11PR20,46369,2.380141,47353,2.665349,-1.131753e-01
11PR41/2,47834,2.378831,48497,2.665287,-1.137026e-01
11PR21,48931,2.430664,49663,2.665224,-9.212364e-02
11PR43/2,50461,2.416903,50789,2.665169,-9.778050e-02
11PR22,51826,2.346624,51973,2.665111,-1.272680e-01
11PR45/2,52876,2.469593,53129,2.665055,-7.617134e-02
11PR23,53624,2.388364,54277,2.665002,-1.095962e-01
11PR47/2,54421,2.447211,55439,2.664947,-8.523516e-02
11PR24,56176,2.444148,56591,2.664895,-8.646806e-02
11PR49/2,57172,2.426083,57737,2.664848,-9.386900e-02
11PR25,58789,2.355012,58901,2.664798,-1.235824e-01
11PR51/2,59074,2.411060,60041,2.664751,-1.000441e-01
13PR2,61058,2.418361,61211,2.664702,-9.700219e-02
11PR53/2,61444,2.421746,62351,2.664657,-9.558658e-02
11PR27,63421,2.436905,63521,2.664614,-8.933042e-02
11PR55/2,64198,2.443219,64679,2.664569,-8.672589e-02
11PR28,65336,2.468498,65536,2.664496,-7.640505e-02
11PR57/2,66602,2.429966,66977,2.664486,-9.213390e-02
11PR29,67904,2.413565,68141,2.664445,-9.889087e-02
11PR59/2,69239,2.447118,69263,2.664405,-8.506976e-02
11PR30,69911,2.449157,70451,2.664364,-8.422150e-02
11PR61/2,70544,2.431070,71597,2.664327,-9.162000e-02
11PR31,71633,2.358847,72763,2.664288,-1.217639e-01
11PR63/2,73016,2.438849,73907,2.664251,-8.839676e-02
11PR32,74716,2.474061,75041,2.664217,-7.404928e-02
13PR5/2,75968,2.467098,76213,2.664181,-7.685413e-02
11PR33,77144,2.383605,77383,2.664144,-1.112688e-01
11PR67/2,78427,2.494035,78539,2.664109,-6.596779e-02
11PR34,79312,2.406904,79693,2.664077,-1.015164e-01
11PR69/2,79784,2.452666,80849,2.664044,-8.266967e-02
