START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign,CpredBound
11PR139/2,161068,1.371225,161543,2.640683,161070,9.59859401,160545,9.45757029,161121,3.936232836,4.000031077,0.000000,0.000000,0.000000
11PR70,162824,1.585018,162853,2.640683,161700,9.68071228,162435,9.83288252,162276,3.938176524,4.000339753,0.000000,0.000000,0.000000
11PR141/2,163694,1.465620,163997,2.640683,163170,9.60784482,162855,9.59768235,163431,3.794473952,3.999927220,0.000000,0.000000,0.000000
11PR71,164888,1.456572,165161,2.640683,164220,9.55812075,164010,9.52510995,164586,3.851504118,3.999424708,0.000000,0.000000,0.000000
13PR11/2,166016,1.336714,166319,2.640683,165165,9.62353481,165165,10.24258580,165741,3.754790640,4.000444259,0.000000,0.000000,0.000000
11PR72,166697,1.443529,167471,2.640682,166320,10.12422452,166320,9.38903686,166896,3.648004492,3.999927779,0.000000,0.000000,0.000000
11PR145/2,167894,1.434779,168629,2.640682,167475,9.84490797,167475,9.73677900,168051,3.863522657,3.999979173,0.000000,0.000000,0.000000
11PR73,169534,1.642535,169783,2.640682,169260,10.30602110,169575,9.54367973,169206,3.935379620,4.000357927,0.000000,0.000000,0.000000
11PR147/2,170647,1.524337,170927,2.640682,170625,9.90798120,169785,9.38903680,170361,3.937743417,4.000000615,0.000000,0.000000,0.000000
11PR74,170974,1.304544,172093,2.640682,171600,9.75349678,170940,9.65729487,171516,4.093832658,4.000219360,0.000000,0.000000,0.000000
11PR149/2,173161,1.398438,173249,2.640682,173145,10.00405379,172095,9.45290771,172671,3.966579998,3.999862159,0.000000,0.000000,0.000000
11PR75,173764,1.394090,174241,2.640682,173355,9.45761505,173250,9.38903670,173826,4.013113280,3.999616932,0.000000,0.000000,0.000000
11PR151/2,174562,1.495857,175543,2.640682,174405,9.08729733,174405,9.45205030,174981,3.934761108,4.000108619,0.000000,0.000000,0.000000
11PR76,175822,1.592931,176551,2.640681,175560,9.88813454,175560,9.94133288,176136,3.968411916,4.000231110,0.000000,0.000000,0.000000
11PR153/2,177698,1.789604,177841,2.640681,176715,10.36306997,176715,10.01497231,177291,4.140094439,3.999820703,0.000000,0.000000,0.000000
11PR77,178733,1.676290,178859,2.640681,177870,10.72774883,177870,9.38903653,178446,4.131863064,4.000099853,0.000000,0.000000,0.000000
11PR155/2,179483,1.461488,180179,2.640681,179025,10.25169109,179025,9.71279634,179601,3.991675139,3.999646628,0.000000,0.000000,0.000000
13PR6,180679,1.764656,181183,2.640681,180180,10.19697307,180180,10.24258521,180756,4.142241347,4.000289145,0.000000,0.000000,0.000000
11PR157/2,182426,1.750719,182489,2.640681,181335,10.34988494,181545,9.76058116,181911,4.030836378,4.000024820,0.000000,0.000000,0.000000
11PR79,183247,1.744061,183487,2.640681,183540,9.42776690,182490,9.51097190,183066,3.967612935,4.000018086,0.000000,0.000000,0.000000
11PR159/2,184117,1.737535,184777,2.640681,184275,10.10947488,183645,9.57313505,184221,4.221447998,4.000422851,0.000000,0.000000,0.000000
11PR80,185534,1.726527,185797,2.640681,185130,9.86824860,185640,9.83288155,185376,4.125429270,3.999993038,0.000000,0.000000,0.000000
11PR161/2,187081,1.613274,187091,2.640681,185955,10.33805975,185955,9.83613318,186531,4.106673745,4.000028816,0.000000,0.000000,0.000000
11PR81,188093,1.606465,188261,2.640680,187110,10.28488674,187110,9.38903620,187686,4.104256720,3.999789240,0.000000,0.000000,0.000000
11PR163/2,188693,1.301507,189407,2.640680,189210,10.18877801,188370,9.65729435,188841,3.982315968,4.000166614,0.000000,0.000000,0.000000
11PR82,190331,1.391815,190573,2.640680,189735,9.76724961,189420,9.62978064,189996,3.991825575,3.999952523,0.000000,0.000000,0.000000
11PR165/2,191591,1.186300,191717,2.640680,191100,9.70997974,190575,9.38903606,191151,4.041537029,4.000028180,0.000000,0.000000,0.000000
11PR83,192611,1.476278,192883,2.640680,191835,9.67720774,191730,9.50495007,192306,3.982175683,4.000162851,0.000000,0.000000,0.000000
11PR167/2,193181,1.276245,194027,2.640680,193830,9.59443402,192885,9.44593923,193461,3.956416176,4.000265015,0.000000,0.000000,0.000000
11PR84,194126,1.368717,195193,2.640680,194040,9.97793432,194040,9.38903597,194616,3.999951399,3.999135402,0.000000,0.000000,0.000000
13PR13/2,196073,1.357534,196337,2.640680,195510,9.72065663,195195,10.24258463,195771,3.981968316,3.999961789,0.000000,0.000000,0.000000
