START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,CpredAlign
(11#)87,201979,2.696364,202121,2.804548,200970,10.34699912,200970,10.34130222,201546,4.230417291,4.248814665,143.543754,2.698556
(11#)175/2,202231,2.697985,203279,2.804465,202125,10.03671564,202125,9.97167700,202701,4.228663147,4.247948803,143.900599,2.698715
(11#)88,204046,2.692561,204431,2.804402,203490,10.03329659,203490,10.13557276,203856,4.226016239,4.247969199,144.254491,2.698892
(11#)177/2,204928,2.696021,205589,2.804320,204435,10.13379593,204435,10.14609023,205011,4.226890434,4.248198394,144.609126,2.699049
(11#)89,206086,2.718302,206699,2.804241,205590,9.99114165,205590,10.08547134,206166,4.229775388,4.248019110,144.948035,2.699198
(11#)179/2,207574,2.675878,207877,2.804159,207480,10.36264746,207480,10.36491624,207321,4.227077535,4.247463994,145.306617,2.699356
(11#)90,208928,2.701678,209039,2.804078,208845,10.42114823,208845,10.44135444,208476,4.229012312,4.247408889,145.659239,2.699509
(11#)181/2,209929,2.682270,210209,2.803997,209055,9.94291152,209055,10.02570173,209631,4.228349677,4.247155902,146.013205,2.699662
(13#)7,210334,2.696571,211349,2.803918,210210,10.78584052,210210,10.87605404,210786,4.230789716,4.247781423,146.357057,2.699810
(11#)183/2,211873,2.695799,212507,2.803839,211575,10.12013562,211365,10.13840968,211941,4.228916891,4.247296678,146.705300,2.699959
(11#)92,212833,2.721061,213659,2.803760,212520,10.36645929,212520,10.44387381,213096,4.230762876,4.247172393,147.050709,2.700106
(11#)185/2,214702,2.684285,214817,2.803700,213675,10.25159031,213675,10.25370044,214251,4.226463442,4.246793934,147.396889,2.700271
(11#)93,215032,2.692089,215983,2.803621,214830,10.22924317,214830,10.31240562,215406,4.229047492,4.246870347,147.744429,2.700417
(11#)187/2,216991,2.706587,217121,2.803545,215985,10.56451605,215985,10.63294366,216561,4.232877778,4.246774047,148.082634,2.700559
(11#)94,217577,2.714400,218287,2.803467,217140,10.07932623,217140,10.18962024,217716,4.235196807,4.246824958,148.428154,2.700702
(11#)189/2,218368,2.722809,219437,2.803391,218295,10.10819580,218295,9.96783572,218871,4.236241216,4.246301634,148.767944,2.700843
(11#)95,220309,2.712319,220589,2.803315,219450,10.52672879,219450,10.55388798,220026,4.231966351,4.246828951,149.107348,2.700983
(11#)191/2,221528,2.714884,221747,2.803239,220605,10.06060491,220605,10.02002982,221181,4.233391538,4.246087480,149.447543,2.701122
(11#)96,222634,2.717216,222913,2.803163,221760,9.92206177,221760,9.96702099,222336,4.237009819,4.246278118,149.789105,2.701261
(11#)193/2,223954,2.710568,224069,2.803105,222915,10.04404616,223860,10.03628203,223491,4.235871668,4.246395817,150.126774,2.701415
(11#)97,225223,2.704512,225223,2.803030,224070,10.15409218,224070,10.07145950,224646,4.230396240,4.245534908,150.462908,2.701550
(13#)15/2,225943,2.709420,226379,2.802956,225225,10.90861237,225225,10.87231187,225801,4.234450145,4.245890910,150.798680,2.701685
(11#)98,226456,2.693497,227533,2.802882,226380,10.00512343,226380,9.96601958,226956,4.231506772,4.245982991,151.132935,2.701818
(11#)197/2,227764,2.700612,228677,2.802809,227535,10.01614738,227535,10.01686627,228111,4.229401987,4.245768295,151.463379,2.701949
