START,n_geom,C_avg,Cpred_avg,Lambda_avg
(11PR)63/2,73340,4.243970,4.271389,-6.439757e-03
(11PR)32,74495,4.245396,4.271072,-6.029569e-03
(13PR)5/2,75650,4.251720,4.270546,-4.418140e-03
(11PR)33,76805,4.255663,4.270577,-3.498552e-03
(11PR)67/2,77960,4.252378,4.269527,-4.024665e-03
(11PR)34,79115,4.249769,4.269853,-4.714636e-03
(11PR)69/2,80270,4.246604,4.269870,-5.463813e-03
(11PR)35,81425,4.245351,4.268639,-5.470415e-03
(11PR)71/2,82580,4.243365,4.268450,-5.894141e-03
(11PR)36,83735,4.237757,4.268084,-7.130822e-03
(11PR)73/2,84890,4.233765,4.268259,-8.114214e-03
(11PR)37,86045,4.239556,4.267948,-6.674614e-03
(11PR)75/2,87200,4.238156,4.266779,-6.730997e-03
(11PR)38,88355,4.236352,4.267481,-7.321293e-03
(11PR)77/2,89510,4.236684,4.265954,-6.884985e-03
(13PR)3,90665,4.242278,4.266979,-5.805683e-03
(11PR)79/2,91820,4.241753,4.266414,-5.796996e-03
(11PR)40,92975,4.243673,4.265477,-5.124901e-03
(11PR)81/2,94130,4.246502,4.265558,-4.477445e-03
(11PR)41,95285,4.244836,4.265126,-4.768625e-03
(11PR)83/2,96440,4.246364,4.265678,-4.537987e-03
(11PR)42,97595,4.244135,4.263724,-4.605043e-03
(11PR)85/2,98750,4.243252,4.264240,-4.934006e-03
(11PR)43,99905,4.244702,4.264073,-4.553270e-03
(11PR)87/2,101060,4.240462,4.264169,-5.575152e-03
(11PR)44,102215,4.238577,4.263621,-5.891247e-03
(11PR)89/2,103370,4.238533,4.263470,-5.866145e-03
(11PR)45,104525,4.242567,4.262466,-4.679451e-03
(13PR)7/2,105680,4.250330,4.262776,-2.923789e-03
(11PR)46,106835,4.244931,4.262733,-4.184939e-03
(11PR)93/2,107990,4.241142,4.262405,-5.000850e-03
(11PR)47,109145,4.237402,4.262083,-5.807632e-03
(11PR)95/2,110300,4.241040,4.262027,-4.936438e-03
(11PR)48,111456,4.242217,4.261236,-4.473378e-03
(11PR)97/2,112611,4.242872,4.261599,-4.403992e-03
(11PR)49,113766,4.241827,4.261054,-4.522448e-03
(11PR)99/2,114921,4.245558,4.260739,-3.569439e-03
(11PR)50,116076,4.249441,4.260772,-2.663077e-03
(11PR)101/2,117231,4.241901,4.260030,-4.264703e-03
(11PR)51,118386,4.237567,4.260653,-5.433241e-03
(11PR)103/2,119541,4.231856,4.259356,-6.477332e-03
(13PR)4,120696,4.237005,4.259800,-5.365481e-03
(11PR)105/2,121851,4.238163,4.259777,-5.086890e-03
(11PR)53,123006,4.238679,4.259236,-4.838282e-03
(11PR)107/2,124161,4.240822,4.258935,-4.262084e-03
(11PR)54,125316,4.243524,4.259113,-3.666681e-03
(11PR)109/2,126471,4.241248,4.258598,-4.082403e-03
(11PR)55,127626,4.239458,4.258121,-4.392548e-03
(11PR)111/2,128781,4.239612,4.258189,-4.372053e-03
(11PR)56,129936,4.239019,4.258439,-4.570738e-03
(11PR)113/2,131091,4.234574,4.257628,-5.429417e-03
(11PR)57,132246,4.233895,4.257661,-5.597629e-03
(11PR)115/2,133401,4.235962,4.257741,-5.128419e-03
