START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
11PR67D2,78506,1.243398,78539,2.640702,78435,9.53897123,77805,9.76058687,77960,3.958401533,3.999553832,78536,0.000000,77805,10.86627072,78539,0.000000,77805,22.59871408
11PR34,79616,1.228462,79693,2.640701,78540,10.35400418,78540,10.01497809,79115,3.880042982,4.000228310,79691,0.000000,78540,11.08683407,79694,0.000000,78540,22.76433267
11PR69D2,79841,1.226120,80849,2.640701,79800,10.22493277,79695,9.83613901,80270,4.211443200,4.000541576,80846,0.000000,79695,10.89667408,80849,0.000000,79695,22.45667429
11PR35,81974,1.000079,82003,2.640700,80955,10.50920526,80850,9.38904174,81425,4.280734033,3.999747397,82001,0.000000,81510,10.45912979,82004,0.000000,80850,21.88400115
11PR71D2,82526,1.193130,83137,2.640700,82215,9.97481270,82005,9.52511464,82580,3.957566218,3.999858970,83156,0.000000,82005,10.56350040,83159,0.000000,82005,21.89761565
11PR36,83548,0.984221,84313,2.640699,83160,10.27473603,83160,9.38904153,83735,3.789509912,3.999802075,84311,0.000000,83265,10.44915385,84314,0.000000,83160,21.64208219
11PR73D2,84904,0.971388,85469,2.640699,84525,9.75034444,84630,9.53620495,84890,3.850815728,4.000310907,85466,0.000000,84630,10.59957263,85469,0.000000,84315,21.65774649
11PR37,85597,0.578866,86599,2.640698,85680,9.83504704,85470,9.65729965,86045,3.870795646,4.000297222,86621,0.000000,85470,10.66895898,86624,0.000000,85470,21.67996646
11PR75D2,87623,1.135333,87767,2.640698,86625,9.74480536,86625,9.38904117,87200,3.801296870,3.999537995,87776,0.000000,86625,10.39090874,87779,0.000000,86625,21.30058483
11PR38,87784,1.134043,88919,2.640697,88665,9.74609920,87780,9.94133766,88355,3.929900300,4.000466635,88931,0.000000,87780,10.93350065,88934,0.000000,87780,21.74433622
