n,ratio,c_pred,baseline,c_meas,lambda,status
568,-16.22854703,-0.18565566,-3.13825509,3.01292165,,EXPECTED
578,-1425.41840108,-0.00208629,-3.10704043,2.97383675,,EXPECTED
592,-35.37831540,-0.07018207,-3.06489054,2.48292354,,EXPECTED
602,-50.42314397,-0.06877382,-3.64833569,3.46779220,,EXPECTED
623,-77.25972820,-0.04192405,-3.57798604,3.23904063,,EXPECTED
632,-223.65933523,-0.01559935,-2.96167366,3.48894081,,EXPECTED
647,-325.82539184,-0.00883785,-2.92267416,2.87959606,,EXPECTED
663,1.79115587,3.60799531,-3.16412271,6.46248196,0.58286115,EXPECTED
678,1.95839151,2.70840761,-3.16396745,5.30412248,0.67212348,EXPECTED
693,1.58816958,4.59948907,-3.16279525,7.30476864,0.46258215,EXPECTED
714,1.61248757,4.27787555,-3.16343879,6.89802117,0.47777806,EXPECTED
726,1.68361254,3.29685565,-3.16343296,5.55062753,0.52094181,EXPECTED
735,1.64629099,5.08670142,-4.21818239,8.37419073,0.49852488,EXPECTED
759,1.72855540,3.60473746,-3.16618607,6.23098841,0.54728603,EXPECTED
777,1.73501582,4.01283940,-3.16789182,6.96233985,0.55101653,EXPECTED
780,1.90106811,4.22407644,-4.22578675,8.03025702,0.64241589,EXPECTED
798,1.67874357,4.21070423,-3.17168019,7.06869266,0.51804564,EXPECTED
819,1.58965987,4.43317789,-3.17512151,7.04724497,0.46352007,EXPECTED
825,1.86724114,4.37434968,-4.23626157,8.16796570,0.62446202,EXPECTED
840,1.77215034,5.05916471,-4.24025797,8.96560046,0.57219369,EXPECTED
861,1.71776181,3.96060477,-3.18582149,6.80337563,0.54102217,EXPECTED
882,1.82682954,3.77688187,-3.19117674,6.89971936,0.60258197,EXPECTED
891,1.83398347,3.25933483,-3.19365901,5.97756621,0.60649036,EXPECTED
903,1.83083989,3.94188965,-3.19788090,7.21696880,0.60477482,EXPECTED
924,1.58555710,4.54002993,-3.20436022,7.19847669,0.46093583,EXPECTED
936,1.84301394,3.12845512,-3.20830825,5.76578640,0.61140224,EXPECTED
945,1.76455124,5.01348234,-4.28184304,8.84654649,0.56789640,EXPECTED
966,1.63419139,4.07589423,-3.21951870,6.66079126,0.49114812,EXPECTED
987,1.76123636,3.89257104,-3.22749923,6.85573764,0.56601604,EXPECTED
990,1.85308089,4.29279478,-4.30564020,7.95489597,0.61684960,EXPECTED
